,website,dtg,date,year,month,day,shoe_company,brand,count,short_date
0,sneakernews.com,2021-05-26 19:15:18.592043,2021-05-26,2021,5,26,Nike,nike,11,2021-05-26
1,sneakernews.com,2021-05-26 19:15:18.596195,2021-05-26,2021,5,26,Nike,jordan,16,2021-05-26
2,sneakernews.com,2021-05-26 19:15:18.600045,2021-05-26,2021,5,26,Nike,converse,3,2021-05-26
3,sneakernews.com,2021-05-26 19:15:18.604201,2021-05-26,2021,5,26,Adidas,adidas,7,2021-05-26
4,sneakernews.com,2021-05-26 19:15:18.608726,2021-05-26,2021,5,26,Adidas,reebok,3,2021-05-26
5,sneakernews.com,2021-05-26 19:15:18.613730,2021-05-26,2021,5,26,Adidas,adidas,7,2021-05-26
6,sneakernews.com,2021-05-26 19:15:18.618591,2021-05-26,2021,5,26,Adidas,kanye,0,2021-05-26
7,sneakernews.com,2021-05-26 19:15:18.623509,2021-05-26,2021,5,26,Adidas,yeezy,8,2021-05-26
8,sneakernews.com,2021-05-26 19:15:18.628464,2021-05-26,2021,5,26,New Balance,NB,0,2021-05-26
9,sneakernews.com,2021-05-26 19:15:18.633413,2021-05-26,2021,5,26,New Balance,new balance,3,2021-05-26
10,sneakernews.com,2021-05-26 19:15:18.638311,2021-05-26,2021,5,26,Puma,Puma,0,2021-05-26
11,sneakernews.com,2021-05-26 19:15:18.643258,2021-05-26,2021,5,26,Puma,puma,2,2021-05-26
12,sneakernews.com,2021-05-26 19:15:18.648107,2021-05-26,2021,5,26,Vans,Vans,0,2021-05-26
13,sneakernews.com,2021-05-26 19:15:18.652935,2021-05-26,2021,5,26,Vans,vans,2,2021-05-26
0,Solecollector.com,2021-05-26 19:15:19.577187,2021-05-26,2021,5,26,Nike,nike,7,2021-05-26
1,Solecollector.com,2021-05-26 19:15:19.581195,2021-05-26,2021,5,26,Nike,jordan,5,2021-05-26
2,Solecollector.com,2021-05-26 19:15:19.585353,2021-05-26,2021,5,26,Nike,converse,0,2021-05-26
3,Solecollector.com,2021-05-26 19:15:19.589643,2021-05-26,2021,5,26,Adidas,adidas,1,2021-05-26
4,Solecollector.com,2021-05-26 19:15:19.594181,2021-05-26,2021,5,26,Adidas,reebok,1,2021-05-26
5,Solecollector.com,2021-05-26 19:15:19.598661,2021-05-26,2021,5,26,Adidas,adidas,1,2021-05-26
6,Solecollector.com,2021-05-26 19:15:19.602654,2021-05-26,2021,5,26,Adidas,kanye,0,2021-05-26
7,Solecollector.com,2021-05-26 19:15:19.606336,2021-05-26,2021,5,26,Adidas,yeezy,0,2021-05-26
8,Solecollector.com,2021-05-26 19:15:19.609990,2021-05-26,2021,5,26,New Balance,NB,0,2021-05-26
9,Solecollector.com,2021-05-26 19:15:19.613575,2021-05-26,2021,5,26,New Balance,new balance,0,2021-05-26
10,Solecollector.com,2021-05-26 19:15:19.617394,2021-05-26,2021,5,26,Puma,Puma,0,2021-05-26
11,Solecollector.com,2021-05-26 19:15:19.621066,2021-05-26,2021,5,26,Puma,puma,1,2021-05-26
12,Solecollector.com,2021-05-26 19:15:19.624776,2021-05-26,2021,5,26,Vans,Vans,0,2021-05-26
13,Solecollector.com,2021-05-26 19:15:19.628380,2021-05-26,2021,5,26,Vans,vans,0,2021-05-26
0,hypebeast.com,2021-05-26 19:15:22.028156,2021-05-26,2021,5,26,Nike,nike,3,2021-05-26
1,hypebeast.com,2021-05-26 19:15:22.032595,2021-05-26,2021,5,26,Nike,jordan,1,2021-05-26
2,hypebeast.com,2021-05-26 19:15:22.036494,2021-05-26,2021,5,26,Nike,converse,0,2021-05-26
3,hypebeast.com,2021-05-26 19:15:22.040786,2021-05-26,2021,5,26,Adidas,adidas,1,2021-05-26
4,hypebeast.com,2021-05-26 19:15:22.045197,2021-05-26,2021,5,26,Adidas,reebok,0,2021-05-26
5,hypebeast.com,2021-05-26 19:15:22.049698,2021-05-26,2021,5,26,Adidas,adidas,1,2021-05-26
6,hypebeast.com,2021-05-26 19:15:22.054310,2021-05-26,2021,5,26,Adidas,kanye,0,2021-05-26
7,hypebeast.com,2021-05-26 19:15:22.058898,2021-05-26,2021,5,26,Adidas,yeezy,1,2021-05-26
8,hypebeast.com,2021-05-26 19:15:22.063634,2021-05-26,2021,5,26,New Balance,NB,0,2021-05-26
9,hypebeast.com,2021-05-26 19:15:22.068197,2021-05-26,2021,5,26,New Balance,new balance,0,2021-05-26
10,hypebeast.com,2021-05-26 19:15:22.072702,2021-05-26,2021,5,26,Puma,Puma,0,2021-05-26
11,hypebeast.com,2021-05-26 19:15:22.077245,2021-05-26,2021,5,26,Puma,puma,0,2021-05-26
12,hypebeast.com,2021-05-26 19:15:22.081843,2021-05-26,2021,5,26,Vans,Vans,0,2021-05-26
13,hypebeast.com,2021-05-26 19:15:22.086316,2021-05-26,2021,5,26,Vans,vans,0,2021-05-26
