,website,dtg,date,year,month,day,shoe_company,brand,count,short_date
0,sneakernews.com,2021-11-12 18:59:16.877784,2021-11-12,2021,11,12,Nike,nike,7,2021-11-12
1,sneakernews.com,2021-11-12 18:59:16.883421,2021-11-12,2021,11,12,Nike,jordan,24,2021-11-12
2,sneakernews.com,2021-11-12 18:59:16.888224,2021-11-12,2021,11,12,Nike,converse,2,2021-11-12
3,sneakernews.com,2021-11-12 18:59:16.892534,2021-11-12,2021,11,12,Adidas,adidas,7,2021-11-12
4,sneakernews.com,2021-11-12 18:59:16.896962,2021-11-12,2021,11,12,Adidas,reebok,2,2021-11-12
5,sneakernews.com,2021-11-12 18:59:16.901342,2021-11-12,2021,11,12,Adidas,adidas,7,2021-11-12
6,sneakernews.com,2021-11-12 18:59:16.905692,2021-11-12,2021,11,12,Adidas,kanye,0,2021-11-12
7,sneakernews.com,2021-11-12 18:59:16.909674,2021-11-12,2021,11,12,Adidas,yeezy,4,2021-11-12
8,sneakernews.com,2021-11-12 18:59:16.913410,2021-11-12,2021,11,12,New Balance,NB,0,2021-11-12
9,sneakernews.com,2021-11-12 18:59:16.917037,2021-11-12,2021,11,12,New Balance,new balance,3,2021-11-12
10,sneakernews.com,2021-11-12 18:59:16.920661,2021-11-12,2021,11,12,Puma,Puma,0,2021-11-12
11,sneakernews.com,2021-11-12 18:59:16.924346,2021-11-12,2021,11,12,Puma,puma,2,2021-11-12
12,sneakernews.com,2021-11-12 18:59:16.927917,2021-11-12,2021,11,12,Vans,Vans,0,2021-11-12
13,sneakernews.com,2021-11-12 18:59:16.931487,2021-11-12,2021,11,12,Vans,vans,2,2021-11-12
0,Solecollector.com,2021-11-12 18:59:18.442613,2021-11-12,2021,11,12,Nike,nike,2,2021-11-12
1,Solecollector.com,2021-11-12 18:59:18.446100,2021-11-12,2021,11,12,Nike,jordan,9,2021-11-12
2,Solecollector.com,2021-11-12 18:59:18.449610,2021-11-12,2021,11,12,Nike,converse,0,2021-11-12
3,Solecollector.com,2021-11-12 18:59:18.453548,2021-11-12,2021,11,12,Adidas,adidas,1,2021-11-12
4,Solecollector.com,2021-11-12 18:59:18.457022,2021-11-12,2021,11,12,Adidas,reebok,1,2021-11-12
5,Solecollector.com,2021-11-12 18:59:18.460451,2021-11-12,2021,11,12,Adidas,adidas,1,2021-11-12
6,Solecollector.com,2021-11-12 18:59:18.464764,2021-11-12,2021,11,12,Adidas,kanye,0,2021-11-12
7,Solecollector.com,2021-11-12 18:59:18.468242,2021-11-12,2021,11,12,Adidas,yeezy,0,2021-11-12
8,Solecollector.com,2021-11-12 18:59:18.471824,2021-11-12,2021,11,12,New Balance,NB,0,2021-11-12
9,Solecollector.com,2021-11-12 18:59:18.475946,2021-11-12,2021,11,12,New Balance,new balance,0,2021-11-12
10,Solecollector.com,2021-11-12 18:59:18.479673,2021-11-12,2021,11,12,Puma,Puma,0,2021-11-12
11,Solecollector.com,2021-11-12 18:59:18.483137,2021-11-12,2021,11,12,Puma,puma,1,2021-11-12
12,Solecollector.com,2021-11-12 18:59:18.486620,2021-11-12,2021,11,12,Vans,Vans,0,2021-11-12
13,Solecollector.com,2021-11-12 18:59:18.490634,2021-11-12,2021,11,12,Vans,vans,0,2021-11-12
0,hypebeast.com,2021-11-12 18:59:19.103284,2021-11-12,2021,11,12,Nike,nike,0,2021-11-12
1,hypebeast.com,2021-11-12 18:59:19.107551,2021-11-12,2021,11,12,Nike,jordan,0,2021-11-12
2,hypebeast.com,2021-11-12 18:59:19.111938,2021-11-12,2021,11,12,Nike,converse,1,2021-11-12
3,hypebeast.com,2021-11-12 18:59:19.116238,2021-11-12,2021,11,12,Adidas,adidas,0,2021-11-12
4,hypebeast.com,2021-11-12 18:59:19.120414,2021-11-12,2021,11,12,Adidas,reebok,0,2021-11-12
5,hypebeast.com,2021-11-12 18:59:19.124724,2021-11-12,2021,11,12,Adidas,adidas,0,2021-11-12
6,hypebeast.com,2021-11-12 18:59:19.129159,2021-11-12,2021,11,12,Adidas,kanye,0,2021-11-12
7,hypebeast.com,2021-11-12 18:59:19.133590,2021-11-12,2021,11,12,Adidas,yeezy,0,2021-11-12
8,hypebeast.com,2021-11-12 18:59:19.138052,2021-11-12,2021,11,12,New Balance,NB,0,2021-11-12
9,hypebeast.com,2021-11-12 18:59:19.142537,2021-11-12,2021,11,12,New Balance,new balance,0,2021-11-12
10,hypebeast.com,2021-11-12 18:59:19.146943,2021-11-12,2021,11,12,Puma,Puma,0,2021-11-12
11,hypebeast.com,2021-11-12 18:59:19.151481,2021-11-12,2021,11,12,Puma,puma,0,2021-11-12
12,hypebeast.com,2021-11-12 18:59:19.156152,2021-11-12,2021,11,12,Vans,Vans,0,2021-11-12
13,hypebeast.com,2021-11-12 18:59:19.161355,2021-11-12,2021,11,12,Vans,vans,0,2021-11-12
