,website,dtg,date,year,month,day,category_name,item,count,short_date
0,sneakernews.com,2020-02-13 06:02:52.137357,2020-02-13,2020,2,13,Nike,nike,7,2020-02-13
1,sneakernews.com,2020-02-13 06:02:52.143112,2020-02-13,2020,2,13,Nike,jordan,23,2020-02-13
2,sneakernews.com,2020-02-13 06:02:52.146914,2020-02-13,2020,2,13,Nike,converse,3,2020-02-13
3,sneakernews.com,2020-02-13 06:02:52.150486,2020-02-13,2020,2,13,Adidas,adidas,7,2020-02-13
4,sneakernews.com,2020-02-13 06:02:52.154112,2020-02-13,2020,2,13,Adidas,reebok,3,2020-02-13
5,sneakernews.com,2020-02-13 06:02:52.157700,2020-02-13,2020,2,13,Adidas,adidas,7,2020-02-13
6,sneakernews.com,2020-02-13 06:02:52.161213,2020-02-13,2020,2,13,Adidas,kanye,0,2020-02-13
7,sneakernews.com,2020-02-13 06:02:52.164860,2020-02-13,2020,2,13,Adidas,yeezy,4,2020-02-13
8,sneakernews.com,2020-02-13 06:02:52.168669,2020-02-13,2020,2,13,New Balance,NB,0,2020-02-13
9,sneakernews.com,2020-02-13 06:02:52.172373,2020-02-13,2020,2,13,New Balance,new balance,2,2020-02-13
10,sneakernews.com,2020-02-13 06:02:52.176044,2020-02-13,2020,2,13,Puma,Puma,0,2020-02-13
11,sneakernews.com,2020-02-13 06:02:52.179683,2020-02-13,2020,2,13,Puma,puma,2,2020-02-13
12,sneakernews.com,2020-02-13 06:02:52.183378,2020-02-13,2020,2,13,Vans,Vans,0,2020-02-13
13,sneakernews.com,2020-02-13 06:02:52.187177,2020-02-13,2020,2,13,Vans,vans,2,2020-02-13
0,Solecollector.com,2020-02-13 06:02:53.457132,2020-02-13,2020,2,13,Nike,nike,8,2020-02-13
1,Solecollector.com,2020-02-13 06:02:53.460770,2020-02-13,2020,2,13,Nike,jordan,6,2020-02-13
2,Solecollector.com,2020-02-13 06:02:53.464345,2020-02-13,2020,2,13,Nike,converse,0,2020-02-13
3,Solecollector.com,2020-02-13 06:02:53.467951,2020-02-13,2020,2,13,Adidas,adidas,1,2020-02-13
4,Solecollector.com,2020-02-13 06:02:53.471552,2020-02-13,2020,2,13,Adidas,reebok,1,2020-02-13
5,Solecollector.com,2020-02-13 06:02:53.475348,2020-02-13,2020,2,13,Adidas,adidas,1,2020-02-13
6,Solecollector.com,2020-02-13 06:02:53.479238,2020-02-13,2020,2,13,Adidas,kanye,0,2020-02-13
7,Solecollector.com,2020-02-13 06:02:53.482869,2020-02-13,2020,2,13,Adidas,yeezy,0,2020-02-13
8,Solecollector.com,2020-02-13 06:02:53.486299,2020-02-13,2020,2,13,New Balance,NB,0,2020-02-13
9,Solecollector.com,2020-02-13 06:02:53.489717,2020-02-13,2020,2,13,New Balance,new balance,0,2020-02-13
10,Solecollector.com,2020-02-13 06:02:53.493211,2020-02-13,2020,2,13,Puma,Puma,0,2020-02-13
11,Solecollector.com,2020-02-13 06:02:53.498247,2020-02-13,2020,2,13,Puma,puma,1,2020-02-13
12,Solecollector.com,2020-02-13 06:02:53.502383,2020-02-13,2020,2,13,Vans,Vans,0,2020-02-13
13,Solecollector.com,2020-02-13 06:02:53.506023,2020-02-13,2020,2,13,Vans,vans,0,2020-02-13
0,hypebeast.com,2020-02-13 06:02:55.289716,2020-02-13,2020,2,13,Nike,nike,1,2020-02-13
1,hypebeast.com,2020-02-13 06:02:55.295041,2020-02-13,2020,2,13,Nike,jordan,1,2020-02-13
2,hypebeast.com,2020-02-13 06:02:55.299350,2020-02-13,2020,2,13,Nike,converse,1,2020-02-13
3,hypebeast.com,2020-02-13 06:02:55.302965,2020-02-13,2020,2,13,Adidas,adidas,3,2020-02-13
4,hypebeast.com,2020-02-13 06:02:55.306746,2020-02-13,2020,2,13,Adidas,reebok,0,2020-02-13
5,hypebeast.com,2020-02-13 06:02:55.310441,2020-02-13,2020,2,13,Adidas,adidas,3,2020-02-13
6,hypebeast.com,2020-02-13 06:02:55.314152,2020-02-13,2020,2,13,Adidas,kanye,0,2020-02-13
7,hypebeast.com,2020-02-13 06:02:55.317854,2020-02-13,2020,2,13,Adidas,yeezy,0,2020-02-13
8,hypebeast.com,2020-02-13 06:02:55.321662,2020-02-13,2020,2,13,New Balance,NB,0,2020-02-13
9,hypebeast.com,2020-02-13 06:02:55.325433,2020-02-13,2020,2,13,New Balance,new balance,0,2020-02-13
10,hypebeast.com,2020-02-13 06:02:55.329363,2020-02-13,2020,2,13,Puma,Puma,0,2020-02-13
11,hypebeast.com,2020-02-13 06:02:55.333408,2020-02-13,2020,2,13,Puma,puma,1,2020-02-13
12,hypebeast.com,2020-02-13 06:02:55.337231,2020-02-13,2020,2,13,Vans,Vans,0,2020-02-13
13,hypebeast.com,2020-02-13 06:02:55.340966,2020-02-13,2020,2,13,Vans,vans,0,2020-02-13
