,website,dtg,date,year,month,day,shoe_company,brand,count,short_date
0,sneakernews.com,2021-05-19 09:35:05.352870,2021-05-19,2021,5,19,Nike,nike,12,2021-05-19
1,sneakernews.com,2021-05-19 09:35:05.357783,2021-05-19,2021,5,19,Nike,jordan,14,2021-05-19
2,sneakernews.com,2021-05-19 09:35:05.362418,2021-05-19,2021,5,19,Nike,converse,3,2021-05-19
3,sneakernews.com,2021-05-19 09:35:05.367161,2021-05-19,2021,5,19,Adidas,adidas,5,2021-05-19
4,sneakernews.com,2021-05-19 09:35:05.371701,2021-05-19,2021,5,19,Adidas,reebok,3,2021-05-19
5,sneakernews.com,2021-05-19 09:35:05.376087,2021-05-19,2021,5,19,Adidas,adidas,5,2021-05-19
6,sneakernews.com,2021-05-19 09:35:05.380994,2021-05-19,2021,5,19,Adidas,kanye,0,2021-05-19
7,sneakernews.com,2021-05-19 09:35:05.386318,2021-05-19,2021,5,19,Adidas,yeezy,7,2021-05-19
8,sneakernews.com,2021-05-19 09:35:05.391954,2021-05-19,2021,5,19,New Balance,NB,0,2021-05-19
9,sneakernews.com,2021-05-19 09:35:05.398954,2021-05-19,2021,5,19,New Balance,new balance,2,2021-05-19
10,sneakernews.com,2021-05-19 09:35:05.403708,2021-05-19,2021,5,19,Puma,Puma,0,2021-05-19
11,sneakernews.com,2021-05-19 09:35:05.408397,2021-05-19,2021,5,19,Puma,puma,2,2021-05-19
12,sneakernews.com,2021-05-19 09:35:05.412815,2021-05-19,2021,5,19,Vans,Vans,0,2021-05-19
13,sneakernews.com,2021-05-19 09:35:05.417483,2021-05-19,2021,5,19,Vans,vans,4,2021-05-19
0,Solecollector.com,2021-05-19 09:35:06.460512,2021-05-19,2021,5,19,Nike,nike,8,2021-05-19
1,Solecollector.com,2021-05-19 09:35:06.465240,2021-05-19,2021,5,19,Nike,jordan,5,2021-05-19
2,Solecollector.com,2021-05-19 09:35:06.469831,2021-05-19,2021,5,19,Nike,converse,0,2021-05-19
3,Solecollector.com,2021-05-19 09:35:06.474306,2021-05-19,2021,5,19,Adidas,adidas,2,2021-05-19
4,Solecollector.com,2021-05-19 09:35:06.478625,2021-05-19,2021,5,19,Adidas,reebok,1,2021-05-19
5,Solecollector.com,2021-05-19 09:35:06.483480,2021-05-19,2021,5,19,Adidas,adidas,2,2021-05-19
6,Solecollector.com,2021-05-19 09:35:06.488102,2021-05-19,2021,5,19,Adidas,kanye,1,2021-05-19
7,Solecollector.com,2021-05-19 09:35:06.492861,2021-05-19,2021,5,19,Adidas,yeezy,1,2021-05-19
8,Solecollector.com,2021-05-19 09:35:06.498343,2021-05-19,2021,5,19,New Balance,NB,0,2021-05-19
9,Solecollector.com,2021-05-19 09:35:06.505214,2021-05-19,2021,5,19,New Balance,new balance,0,2021-05-19
10,Solecollector.com,2021-05-19 09:35:06.513096,2021-05-19,2021,5,19,Puma,Puma,0,2021-05-19
11,Solecollector.com,2021-05-19 09:35:06.518168,2021-05-19,2021,5,19,Puma,puma,1,2021-05-19
12,Solecollector.com,2021-05-19 09:35:06.524223,2021-05-19,2021,5,19,Vans,Vans,0,2021-05-19
13,Solecollector.com,2021-05-19 09:35:06.530510,2021-05-19,2021,5,19,Vans,vans,0,2021-05-19
0,hypebeast.com,2021-05-19 09:35:08.287982,2021-05-19,2021,5,19,Nike,nike,2,2021-05-19
1,hypebeast.com,2021-05-19 09:35:08.293371,2021-05-19,2021,5,19,Nike,jordan,0,2021-05-19
2,hypebeast.com,2021-05-19 09:35:08.298053,2021-05-19,2021,5,19,Nike,converse,0,2021-05-19
3,hypebeast.com,2021-05-19 09:35:08.302516,2021-05-19,2021,5,19,Adidas,adidas,0,2021-05-19
4,hypebeast.com,2021-05-19 09:35:08.307328,2021-05-19,2021,5,19,Adidas,reebok,0,2021-05-19
5,hypebeast.com,2021-05-19 09:35:08.311880,2021-05-19,2021,5,19,Adidas,adidas,0,2021-05-19
6,hypebeast.com,2021-05-19 09:35:08.316441,2021-05-19,2021,5,19,Adidas,kanye,0,2021-05-19
7,hypebeast.com,2021-05-19 09:35:08.321013,2021-05-19,2021,5,19,Adidas,yeezy,0,2021-05-19
8,hypebeast.com,2021-05-19 09:35:08.325674,2021-05-19,2021,5,19,New Balance,NB,0,2021-05-19
9,hypebeast.com,2021-05-19 09:35:08.333193,2021-05-19,2021,5,19,New Balance,new balance,1,2021-05-19
10,hypebeast.com,2021-05-19 09:35:08.338714,2021-05-19,2021,5,19,Puma,Puma,0,2021-05-19
11,hypebeast.com,2021-05-19 09:35:08.343897,2021-05-19,2021,5,19,Puma,puma,0,2021-05-19
12,hypebeast.com,2021-05-19 09:35:08.349697,2021-05-19,2021,5,19,Vans,Vans,0,2021-05-19
13,hypebeast.com,2021-05-19 09:35:08.355151,2021-05-19,2021,5,19,Vans,vans,0,2021-05-19
