,website,dtg,date,year,month,day,shoe_company,brand,count,short_date
0,sneakernews.com,2020-11-02 18:47:29.178626,2020-11-02,2020,11,2,Nike,nike,13,2020-11-02
1,sneakernews.com,2020-11-02 18:47:29.186766,2020-11-02,2020,11,2,Nike,jordan,22,2020-11-02
2,sneakernews.com,2020-11-02 18:47:29.191728,2020-11-02,2020,11,2,Nike,converse,2,2020-11-02
3,sneakernews.com,2020-11-02 18:47:29.196800,2020-11-02,2020,11,2,Adidas,adidas,7,2020-11-02
4,sneakernews.com,2020-11-02 18:47:29.202067,2020-11-02,2020,11,2,Adidas,reebok,3,2020-11-02
5,sneakernews.com,2020-11-02 18:47:29.206340,2020-11-02,2020,11,2,Adidas,adidas,7,2020-11-02
6,sneakernews.com,2020-11-02 18:47:29.213404,2020-11-02,2020,11,2,Adidas,kanye,0,2020-11-02
7,sneakernews.com,2020-11-02 18:47:29.218457,2020-11-02,2020,11,2,Adidas,yeezy,8,2020-11-02
8,sneakernews.com,2020-11-02 18:47:29.223184,2020-11-02,2020,11,2,New Balance,NB,0,2020-11-02
9,sneakernews.com,2020-11-02 18:47:29.228107,2020-11-02,2020,11,2,New Balance,new balance,2,2020-11-02
10,sneakernews.com,2020-11-02 18:47:29.235616,2020-11-02,2020,11,2,Puma,Puma,0,2020-11-02
11,sneakernews.com,2020-11-02 18:47:29.240504,2020-11-02,2020,11,2,Puma,puma,2,2020-11-02
12,sneakernews.com,2020-11-02 18:47:29.245140,2020-11-02,2020,11,2,Vans,Vans,0,2020-11-02
13,sneakernews.com,2020-11-02 18:47:29.249799,2020-11-02,2020,11,2,Vans,vans,2,2020-11-02
0,Solecollector.com,2020-11-02 18:47:31.974428,2020-11-02,2020,11,2,Nike,nike,5,2020-11-02
1,Solecollector.com,2020-11-02 18:47:31.980084,2020-11-02,2020,11,2,Nike,jordan,3,2020-11-02
2,Solecollector.com,2020-11-02 18:47:31.984086,2020-11-02,2020,11,2,Nike,converse,0,2020-11-02
3,Solecollector.com,2020-11-02 18:47:31.987919,2020-11-02,2020,11,2,Adidas,adidas,3,2020-11-02
4,Solecollector.com,2020-11-02 18:47:31.991776,2020-11-02,2020,11,2,Adidas,reebok,1,2020-11-02
5,Solecollector.com,2020-11-02 18:47:31.995759,2020-11-02,2020,11,2,Adidas,adidas,3,2020-11-02
6,Solecollector.com,2020-11-02 18:47:31.999662,2020-11-02,2020,11,2,Adidas,kanye,0,2020-11-02
7,Solecollector.com,2020-11-02 18:47:32.003606,2020-11-02,2020,11,2,Adidas,yeezy,0,2020-11-02
8,Solecollector.com,2020-11-02 18:47:32.007546,2020-11-02,2020,11,2,New Balance,NB,0,2020-11-02
9,Solecollector.com,2020-11-02 18:47:32.011466,2020-11-02,2020,11,2,New Balance,new balance,2,2020-11-02
10,Solecollector.com,2020-11-02 18:47:32.015388,2020-11-02,2020,11,2,Puma,Puma,0,2020-11-02
11,Solecollector.com,2020-11-02 18:47:32.019265,2020-11-02,2020,11,2,Puma,puma,1,2020-11-02
12,Solecollector.com,2020-11-02 18:47:32.023118,2020-11-02,2020,11,2,Vans,Vans,0,2020-11-02
13,Solecollector.com,2020-11-02 18:47:32.026964,2020-11-02,2020,11,2,Vans,vans,0,2020-11-02
0,hypebeast.com,2020-11-02 18:47:34.608261,2020-11-02,2020,11,2,Nike,nike,2,2020-11-02
1,hypebeast.com,2020-11-02 18:47:34.616568,2020-11-02,2020,11,2,Nike,jordan,0,2020-11-02
2,hypebeast.com,2020-11-02 18:47:34.621551,2020-11-02,2020,11,2,Nike,converse,0,2020-11-02
3,hypebeast.com,2020-11-02 18:47:34.626436,2020-11-02,2020,11,2,Adidas,adidas,0,2020-11-02
4,hypebeast.com,2020-11-02 18:47:34.631372,2020-11-02,2020,11,2,Adidas,reebok,1,2020-11-02
5,hypebeast.com,2020-11-02 18:47:34.636080,2020-11-02,2020,11,2,Adidas,adidas,0,2020-11-02
6,hypebeast.com,2020-11-02 18:47:34.640530,2020-11-02,2020,11,2,Adidas,kanye,0,2020-11-02
7,hypebeast.com,2020-11-02 18:47:34.644647,2020-11-02,2020,11,2,Adidas,yeezy,0,2020-11-02
8,hypebeast.com,2020-11-02 18:47:34.648406,2020-11-02,2020,11,2,New Balance,NB,0,2020-11-02
9,hypebeast.com,2020-11-02 18:47:34.652205,2020-11-02,2020,11,2,New Balance,new balance,1,2020-11-02
10,hypebeast.com,2020-11-02 18:47:34.656154,2020-11-02,2020,11,2,Puma,Puma,0,2020-11-02
11,hypebeast.com,2020-11-02 18:47:34.659993,2020-11-02,2020,11,2,Puma,puma,0,2020-11-02
12,hypebeast.com,2020-11-02 18:47:34.663892,2020-11-02,2020,11,2,Vans,Vans,0,2020-11-02
13,hypebeast.com,2020-11-02 18:47:34.667708,2020-11-02,2020,11,2,Vans,vans,0,2020-11-02
