,website,dtg,date,year,month,day,shoe_company,brand,count,short_date
0,sneakernews.com,2021-01-22 11:02:30.096036,2021-01-22,2021,1,22,Nike,nike,12,2021-01-22
1,sneakernews.com,2021-01-22 11:02:30.109483,2021-01-22,2021,1,22,Nike,jordan,21,2021-01-22
2,sneakernews.com,2021-01-22 11:02:30.116062,2021-01-22,2021,1,22,Nike,converse,2,2021-01-22
3,sneakernews.com,2021-01-22 11:02:30.122895,2021-01-22,2021,1,22,Adidas,adidas,5,2021-01-22
4,sneakernews.com,2021-01-22 11:02:30.129039,2021-01-22,2021,1,22,Adidas,reebok,2,2021-01-22
5,sneakernews.com,2021-01-22 11:02:30.135365,2021-01-22,2021,1,22,Adidas,adidas,5,2021-01-22
6,sneakernews.com,2021-01-22 11:02:30.142093,2021-01-22,2021,1,22,Adidas,kanye,0,2021-01-22
7,sneakernews.com,2021-01-22 11:02:30.149240,2021-01-22,2021,1,22,Adidas,yeezy,8,2021-01-22
8,sneakernews.com,2021-01-22 11:02:30.155366,2021-01-22,2021,1,22,New Balance,NB,0,2021-01-22
9,sneakernews.com,2021-01-22 11:02:30.161396,2021-01-22,2021,1,22,New Balance,new balance,3,2021-01-22
10,sneakernews.com,2021-01-22 11:02:30.169142,2021-01-22,2021,1,22,Puma,Puma,0,2021-01-22
11,sneakernews.com,2021-01-22 11:02:30.176850,2021-01-22,2021,1,22,Puma,puma,3,2021-01-22
12,sneakernews.com,2021-01-22 11:02:30.184549,2021-01-22,2021,1,22,Vans,Vans,0,2021-01-22
13,sneakernews.com,2021-01-22 11:02:30.192131,2021-01-22,2021,1,22,Vans,vans,2,2021-01-22
0,Solecollector.com,2021-01-22 11:02:32.733669,2021-01-22,2021,1,22,Nike,nike,9,2021-01-22
1,Solecollector.com,2021-01-22 11:02:32.741879,2021-01-22,2021,1,22,Nike,jordan,4,2021-01-22
2,Solecollector.com,2021-01-22 11:02:32.746287,2021-01-22,2021,1,22,Nike,converse,0,2021-01-22
3,Solecollector.com,2021-01-22 11:02:32.750648,2021-01-22,2021,1,22,Adidas,adidas,1,2021-01-22
4,Solecollector.com,2021-01-22 11:02:32.754821,2021-01-22,2021,1,22,Adidas,reebok,1,2021-01-22
5,Solecollector.com,2021-01-22 11:02:32.759172,2021-01-22,2021,1,22,Adidas,adidas,1,2021-01-22
6,Solecollector.com,2021-01-22 11:02:32.764054,2021-01-22,2021,1,22,Adidas,kanye,0,2021-01-22
7,Solecollector.com,2021-01-22 11:02:32.769078,2021-01-22,2021,1,22,Adidas,yeezy,0,2021-01-22
8,Solecollector.com,2021-01-22 11:02:32.773482,2021-01-22,2021,1,22,New Balance,NB,0,2021-01-22
9,Solecollector.com,2021-01-22 11:02:32.777657,2021-01-22,2021,1,22,New Balance,new balance,0,2021-01-22
10,Solecollector.com,2021-01-22 11:02:32.782225,2021-01-22,2021,1,22,Puma,Puma,0,2021-01-22
11,Solecollector.com,2021-01-22 11:02:32.786604,2021-01-22,2021,1,22,Puma,puma,1,2021-01-22
12,Solecollector.com,2021-01-22 11:02:32.790665,2021-01-22,2021,1,22,Vans,Vans,0,2021-01-22
13,Solecollector.com,2021-01-22 11:02:32.794719,2021-01-22,2021,1,22,Vans,vans,0,2021-01-22
0,hypebeast.com,2021-01-22 11:02:35.304055,2021-01-22,2021,1,22,Nike,nike,2,2021-01-22
1,hypebeast.com,2021-01-22 11:02:35.308576,2021-01-22,2021,1,22,Nike,jordan,0,2021-01-22
2,hypebeast.com,2021-01-22 11:02:35.312683,2021-01-22,2021,1,22,Nike,converse,0,2021-01-22
3,hypebeast.com,2021-01-22 11:02:35.320120,2021-01-22,2021,1,22,Adidas,adidas,0,2021-01-22
4,hypebeast.com,2021-01-22 11:02:35.324074,2021-01-22,2021,1,22,Adidas,reebok,0,2021-01-22
5,hypebeast.com,2021-01-22 11:02:35.328292,2021-01-22,2021,1,22,Adidas,adidas,0,2021-01-22
6,hypebeast.com,2021-01-22 11:02:35.332474,2021-01-22,2021,1,22,Adidas,kanye,0,2021-01-22
7,hypebeast.com,2021-01-22 11:02:35.337278,2021-01-22,2021,1,22,Adidas,yeezy,0,2021-01-22
8,hypebeast.com,2021-01-22 11:02:35.342786,2021-01-22,2021,1,22,New Balance,NB,0,2021-01-22
9,hypebeast.com,2021-01-22 11:02:35.346920,2021-01-22,2021,1,22,New Balance,new balance,1,2021-01-22
10,hypebeast.com,2021-01-22 11:02:35.350844,2021-01-22,2021,1,22,Puma,Puma,0,2021-01-22
11,hypebeast.com,2021-01-22 11:02:35.355094,2021-01-22,2021,1,22,Puma,puma,1,2021-01-22
12,hypebeast.com,2021-01-22 11:02:35.359968,2021-01-22,2021,1,22,Vans,Vans,0,2021-01-22
13,hypebeast.com,2021-01-22 11:02:35.364223,2021-01-22,2021,1,22,Vans,vans,0,2021-01-22
