,website,dtg,date,year,month,day,shoe_company,brand,count,short_date
0,sneakernews.com,2020-07-15 06:35:37.076750,2020-07-15,2020,7,15,Nike,nike,13,2020-07-15
1,sneakernews.com,2020-07-15 06:35:37.086543,2020-07-15,2020,7,15,Nike,jordan,19,2020-07-15
2,sneakernews.com,2020-07-15 06:35:37.091713,2020-07-15,2020,7,15,Nike,converse,3,2020-07-15
3,sneakernews.com,2020-07-15 06:35:37.096794,2020-07-15,2020,7,15,Adidas,adidas,10,2020-07-15
4,sneakernews.com,2020-07-15 06:35:37.101313,2020-07-15,2020,7,15,Adidas,reebok,2,2020-07-15
5,sneakernews.com,2020-07-15 06:35:37.105388,2020-07-15,2020,7,15,Adidas,adidas,10,2020-07-15
6,sneakernews.com,2020-07-15 06:35:37.109469,2020-07-15,2020,7,15,Adidas,kanye,0,2020-07-15
7,sneakernews.com,2020-07-15 06:35:37.113486,2020-07-15,2020,7,15,Adidas,yeezy,11,2020-07-15
8,sneakernews.com,2020-07-15 06:35:37.117544,2020-07-15,2020,7,15,New Balance,NB,0,2020-07-15
9,sneakernews.com,2020-07-15 06:35:37.121465,2020-07-15,2020,7,15,New Balance,new balance,2,2020-07-15
10,sneakernews.com,2020-07-15 06:35:37.125386,2020-07-15,2020,7,15,Puma,Puma,0,2020-07-15
11,sneakernews.com,2020-07-15 06:35:37.129370,2020-07-15,2020,7,15,Puma,puma,2,2020-07-15
12,sneakernews.com,2020-07-15 06:35:37.133298,2020-07-15,2020,7,15,Vans,Vans,0,2020-07-15
13,sneakernews.com,2020-07-15 06:35:37.137425,2020-07-15,2020,7,15,Vans,vans,2,2020-07-15
0,Solecollector.com,2020-07-15 06:35:39.095919,2020-07-15,2020,7,15,Nike,nike,6,2020-07-15
1,Solecollector.com,2020-07-15 06:35:39.103601,2020-07-15,2020,7,15,Nike,jordan,7,2020-07-15
2,Solecollector.com,2020-07-15 06:35:39.107544,2020-07-15,2020,7,15,Nike,converse,0,2020-07-15
3,Solecollector.com,2020-07-15 06:35:39.111578,2020-07-15,2020,7,15,Adidas,adidas,1,2020-07-15
4,Solecollector.com,2020-07-15 06:35:39.115571,2020-07-15,2020,7,15,Adidas,reebok,1,2020-07-15
5,Solecollector.com,2020-07-15 06:35:39.119387,2020-07-15,2020,7,15,Adidas,adidas,1,2020-07-15
6,Solecollector.com,2020-07-15 06:35:39.123511,2020-07-15,2020,7,15,Adidas,kanye,0,2020-07-15
7,Solecollector.com,2020-07-15 06:35:39.127536,2020-07-15,2020,7,15,Adidas,yeezy,0,2020-07-15
8,Solecollector.com,2020-07-15 06:35:39.131433,2020-07-15,2020,7,15,New Balance,NB,0,2020-07-15
9,Solecollector.com,2020-07-15 06:35:39.135268,2020-07-15,2020,7,15,New Balance,new balance,0,2020-07-15
10,Solecollector.com,2020-07-15 06:35:39.139260,2020-07-15,2020,7,15,Puma,Puma,0,2020-07-15
11,Solecollector.com,2020-07-15 06:35:39.143084,2020-07-15,2020,7,15,Puma,puma,1,2020-07-15
12,Solecollector.com,2020-07-15 06:35:39.147069,2020-07-15,2020,7,15,Vans,Vans,0,2020-07-15
13,Solecollector.com,2020-07-15 06:35:39.150983,2020-07-15,2020,7,15,Vans,vans,0,2020-07-15
0,hypebeast.com,2020-07-15 06:35:41.584547,2020-07-15,2020,7,15,Nike,nike,5,2020-07-15
1,hypebeast.com,2020-07-15 06:35:41.592593,2020-07-15,2020,7,15,Nike,jordan,0,2020-07-15
2,hypebeast.com,2020-07-15 06:35:41.596543,2020-07-15,2020,7,15,Nike,converse,1,2020-07-15
3,hypebeast.com,2020-07-15 06:35:41.600446,2020-07-15,2020,7,15,Adidas,adidas,1,2020-07-15
4,hypebeast.com,2020-07-15 06:35:41.604469,2020-07-15,2020,7,15,Adidas,reebok,0,2020-07-15
5,hypebeast.com,2020-07-15 06:35:41.608671,2020-07-15,2020,7,15,Adidas,adidas,1,2020-07-15
6,hypebeast.com,2020-07-15 06:35:41.612672,2020-07-15,2020,7,15,Adidas,kanye,1,2020-07-15
7,hypebeast.com,2020-07-15 06:35:41.616728,2020-07-15,2020,7,15,Adidas,yeezy,0,2020-07-15
8,hypebeast.com,2020-07-15 06:35:41.620701,2020-07-15,2020,7,15,New Balance,NB,0,2020-07-15
9,hypebeast.com,2020-07-15 06:35:41.625177,2020-07-15,2020,7,15,New Balance,new balance,1,2020-07-15
10,hypebeast.com,2020-07-15 06:35:41.629258,2020-07-15,2020,7,15,Puma,Puma,0,2020-07-15
11,hypebeast.com,2020-07-15 06:35:41.633386,2020-07-15,2020,7,15,Puma,puma,1,2020-07-15
12,hypebeast.com,2020-07-15 06:35:41.637416,2020-07-15,2020,7,15,Vans,Vans,0,2020-07-15
13,hypebeast.com,2020-07-15 06:35:41.641668,2020-07-15,2020,7,15,Vans,vans,0,2020-07-15
