,website,dtg,date,year,month,day,shoe_company,brand,count,short_date
0,sneakernews.com,2020-09-10 14:44:37.357854,2020-09-10,2020,9,10,Nike,nike,10,2020-09-10
1,sneakernews.com,2020-09-10 14:44:37.365064,2020-09-10,2020,9,10,Nike,jordan,26,2020-09-10
2,sneakernews.com,2020-09-10 14:44:37.368970,2020-09-10,2020,9,10,Nike,converse,2,2020-09-10
3,sneakernews.com,2020-09-10 14:44:37.372753,2020-09-10,2020,9,10,Adidas,adidas,8,2020-09-10
4,sneakernews.com,2020-09-10 14:44:37.376874,2020-09-10,2020,9,10,Adidas,reebok,3,2020-09-10
5,sneakernews.com,2020-09-10 14:44:37.380779,2020-09-10,2020,9,10,Adidas,adidas,8,2020-09-10
6,sneakernews.com,2020-09-10 14:44:37.384563,2020-09-10,2020,9,10,Adidas,kanye,2,2020-09-10
7,sneakernews.com,2020-09-10 14:44:37.388591,2020-09-10,2020,9,10,Adidas,yeezy,9,2020-09-10
8,sneakernews.com,2020-09-10 14:44:37.392598,2020-09-10,2020,9,10,New Balance,NB,0,2020-09-10
9,sneakernews.com,2020-09-10 14:44:37.396492,2020-09-10,2020,9,10,New Balance,new balance,2,2020-09-10
10,sneakernews.com,2020-09-10 14:44:37.400470,2020-09-10,2020,9,10,Puma,Puma,0,2020-09-10
11,sneakernews.com,2020-09-10 14:44:37.405295,2020-09-10,2020,9,10,Puma,puma,2,2020-09-10
12,sneakernews.com,2020-09-10 14:44:37.409311,2020-09-10,2020,9,10,Vans,Vans,0,2020-09-10
13,sneakernews.com,2020-09-10 14:44:37.413170,2020-09-10,2020,9,10,Vans,vans,2,2020-09-10
0,Solecollector.com,2020-09-10 14:44:39.297926,2020-09-10,2020,9,10,Nike,nike,6,2020-09-10
1,Solecollector.com,2020-09-10 14:44:39.305534,2020-09-10,2020,9,10,Nike,jordan,8,2020-09-10
2,Solecollector.com,2020-09-10 14:44:39.309684,2020-09-10,2020,9,10,Nike,converse,0,2020-09-10
3,Solecollector.com,2020-09-10 14:44:39.313995,2020-09-10,2020,9,10,Adidas,adidas,2,2020-09-10
4,Solecollector.com,2020-09-10 14:44:39.317894,2020-09-10,2020,9,10,Adidas,reebok,1,2020-09-10
5,Solecollector.com,2020-09-10 14:44:39.321763,2020-09-10,2020,9,10,Adidas,adidas,2,2020-09-10
6,Solecollector.com,2020-09-10 14:44:39.325629,2020-09-10,2020,9,10,Adidas,kanye,0,2020-09-10
7,Solecollector.com,2020-09-10 14:44:39.329500,2020-09-10,2020,9,10,Adidas,yeezy,0,2020-09-10
8,Solecollector.com,2020-09-10 14:44:39.333704,2020-09-10,2020,9,10,New Balance,NB,0,2020-09-10
9,Solecollector.com,2020-09-10 14:44:39.337664,2020-09-10,2020,9,10,New Balance,new balance,0,2020-09-10
10,Solecollector.com,2020-09-10 14:44:39.341511,2020-09-10,2020,9,10,Puma,Puma,0,2020-09-10
11,Solecollector.com,2020-09-10 14:44:39.345316,2020-09-10,2020,9,10,Puma,puma,1,2020-09-10
12,Solecollector.com,2020-09-10 14:44:39.349342,2020-09-10,2020,9,10,Vans,Vans,0,2020-09-10
13,Solecollector.com,2020-09-10 14:44:39.353413,2020-09-10,2020,9,10,Vans,vans,0,2020-09-10
0,hypebeast.com,2020-09-10 14:44:41.329427,2020-09-10,2020,9,10,Nike,nike,2,2020-09-10
1,hypebeast.com,2020-09-10 14:44:41.333516,2020-09-10,2020,9,10,Nike,jordan,1,2020-09-10
2,hypebeast.com,2020-09-10 14:44:41.337735,2020-09-10,2020,9,10,Nike,converse,2,2020-09-10
3,hypebeast.com,2020-09-10 14:44:41.341565,2020-09-10,2020,9,10,Adidas,adidas,3,2020-09-10
4,hypebeast.com,2020-09-10 14:44:41.345692,2020-09-10,2020,9,10,Adidas,reebok,0,2020-09-10
5,hypebeast.com,2020-09-10 14:44:41.349891,2020-09-10,2020,9,10,Adidas,adidas,3,2020-09-10
6,hypebeast.com,2020-09-10 14:44:41.353826,2020-09-10,2020,9,10,Adidas,kanye,2,2020-09-10
7,hypebeast.com,2020-09-10 14:44:41.359198,2020-09-10,2020,9,10,Adidas,yeezy,2,2020-09-10
8,hypebeast.com,2020-09-10 14:44:41.363614,2020-09-10,2020,9,10,New Balance,NB,0,2020-09-10
9,hypebeast.com,2020-09-10 14:44:41.367538,2020-09-10,2020,9,10,New Balance,new balance,0,2020-09-10
10,hypebeast.com,2020-09-10 14:44:41.372004,2020-09-10,2020,9,10,Puma,Puma,0,2020-09-10
11,hypebeast.com,2020-09-10 14:44:41.376594,2020-09-10,2020,9,10,Puma,puma,1,2020-09-10
12,hypebeast.com,2020-09-10 14:44:41.380922,2020-09-10,2020,9,10,Vans,Vans,0,2020-09-10
13,hypebeast.com,2020-09-10 14:44:41.385108,2020-09-10,2020,9,10,Vans,vans,0,2020-09-10
