,website,dtg,date,year,month,day,shoe_company,brand,count,short_date
0,sneakernews.com,2020-06-30 06:59:55.550388,2020-06-30,2020,6,30,Nike,nike,11,2020-06-30
1,sneakernews.com,2020-06-30 06:59:55.557254,2020-06-30,2020,6,30,Nike,jordan,25,2020-06-30
2,sneakernews.com,2020-06-30 06:59:55.562329,2020-06-30,2020,6,30,Nike,converse,2,2020-06-30
3,sneakernews.com,2020-06-30 06:59:55.567485,2020-06-30,2020,6,30,Adidas,adidas,5,2020-06-30
4,sneakernews.com,2020-06-30 06:59:55.571963,2020-06-30,2020,6,30,Adidas,reebok,3,2020-06-30
5,sneakernews.com,2020-06-30 06:59:55.576078,2020-06-30,2020,6,30,Adidas,adidas,5,2020-06-30
6,sneakernews.com,2020-06-30 06:59:55.580048,2020-06-30,2020,6,30,Adidas,kanye,1,2020-06-30
7,sneakernews.com,2020-06-30 06:59:55.584148,2020-06-30,2020,6,30,Adidas,yeezy,8,2020-06-30
8,sneakernews.com,2020-06-30 06:59:55.588595,2020-06-30,2020,6,30,New Balance,NB,0,2020-06-30
9,sneakernews.com,2020-06-30 06:59:55.592884,2020-06-30,2020,6,30,New Balance,new balance,2,2020-06-30
10,sneakernews.com,2020-06-30 06:59:55.596939,2020-06-30,2020,6,30,Puma,Puma,0,2020-06-30
11,sneakernews.com,2020-06-30 06:59:55.601080,2020-06-30,2020,6,30,Puma,puma,2,2020-06-30
12,sneakernews.com,2020-06-30 06:59:55.605283,2020-06-30,2020,6,30,Vans,Vans,0,2020-06-30
13,sneakernews.com,2020-06-30 06:59:55.614609,2020-06-30,2020,6,30,Vans,vans,2,2020-06-30
0,Solecollector.com,2020-06-30 06:59:57.555787,2020-06-30,2020,6,30,Nike,nike,7,2020-06-30
1,Solecollector.com,2020-06-30 06:59:57.563285,2020-06-30,2020,6,30,Nike,jordan,7,2020-06-30
2,Solecollector.com,2020-06-30 06:59:57.567381,2020-06-30,2020,6,30,Nike,converse,0,2020-06-30
3,Solecollector.com,2020-06-30 06:59:57.571215,2020-06-30,2020,6,30,Adidas,adidas,1,2020-06-30
4,Solecollector.com,2020-06-30 06:59:57.575029,2020-06-30,2020,6,30,Adidas,reebok,1,2020-06-30
5,Solecollector.com,2020-06-30 06:59:57.578958,2020-06-30,2020,6,30,Adidas,adidas,1,2020-06-30
6,Solecollector.com,2020-06-30 06:59:57.582829,2020-06-30,2020,6,30,Adidas,kanye,0,2020-06-30
7,Solecollector.com,2020-06-30 06:59:57.587182,2020-06-30,2020,6,30,Adidas,yeezy,0,2020-06-30
8,Solecollector.com,2020-06-30 06:59:57.591086,2020-06-30,2020,6,30,New Balance,NB,0,2020-06-30
9,Solecollector.com,2020-06-30 06:59:57.594930,2020-06-30,2020,6,30,New Balance,new balance,0,2020-06-30
10,Solecollector.com,2020-06-30 06:59:57.599122,2020-06-30,2020,6,30,Puma,Puma,0,2020-06-30
11,Solecollector.com,2020-06-30 06:59:57.603914,2020-06-30,2020,6,30,Puma,puma,1,2020-06-30
12,Solecollector.com,2020-06-30 06:59:57.608167,2020-06-30,2020,6,30,Vans,Vans,0,2020-06-30
13,Solecollector.com,2020-06-30 06:59:57.612129,2020-06-30,2020,6,30,Vans,vans,0,2020-06-30
0,hypebeast.com,2020-06-30 07:00:00.011523,2020-06-30,2020,6,30,Nike,nike,1,2020-06-30
1,hypebeast.com,2020-06-30 07:00:00.020012,2020-06-30,2020,6,30,Nike,jordan,2,2020-06-30
2,hypebeast.com,2020-06-30 07:00:00.024014,2020-06-30,2020,6,30,Nike,converse,2,2020-06-30
3,hypebeast.com,2020-06-30 07:00:00.027967,2020-06-30,2020,6,30,Adidas,adidas,1,2020-06-30
4,hypebeast.com,2020-06-30 07:00:00.031916,2020-06-30,2020,6,30,Adidas,reebok,0,2020-06-30
5,hypebeast.com,2020-06-30 07:00:00.036096,2020-06-30,2020,6,30,Adidas,adidas,1,2020-06-30
6,hypebeast.com,2020-06-30 07:00:00.040229,2020-06-30,2020,6,30,Adidas,kanye,3,2020-06-30
7,hypebeast.com,2020-06-30 07:00:00.044420,2020-06-30,2020,6,30,Adidas,yeezy,2,2020-06-30
8,hypebeast.com,2020-06-30 07:00:00.048429,2020-06-30,2020,6,30,New Balance,NB,0,2020-06-30
9,hypebeast.com,2020-06-30 07:00:00.052480,2020-06-30,2020,6,30,New Balance,new balance,1,2020-06-30
10,hypebeast.com,2020-06-30 07:00:00.056504,2020-06-30,2020,6,30,Puma,Puma,0,2020-06-30
11,hypebeast.com,2020-06-30 07:00:00.060530,2020-06-30,2020,6,30,Puma,puma,1,2020-06-30
12,hypebeast.com,2020-06-30 07:00:00.064530,2020-06-30,2020,6,30,Vans,Vans,0,2020-06-30
13,hypebeast.com,2020-06-30 07:00:00.068600,2020-06-30,2020,6,30,Vans,vans,0,2020-06-30
