,website,dtg,date,year,month,day,shoe_company,brand,count,short_date
0,sneakernews.com,2020-03-31 12:01:32.648240,2020-03-31,2020,3,31,Nike,nike,7,2020-03-31
1,sneakernews.com,2020-03-31 12:01:32.654230,2020-03-31,2020,3,31,Nike,jordan,24,2020-03-31
2,sneakernews.com,2020-03-31 12:01:32.658581,2020-03-31,2020,3,31,Nike,converse,2,2020-03-31
3,sneakernews.com,2020-03-31 12:01:32.662835,2020-03-31,2020,3,31,Adidas,adidas,8,2020-03-31
4,sneakernews.com,2020-03-31 12:01:32.666526,2020-03-31,2020,3,31,Adidas,reebok,3,2020-03-31
5,sneakernews.com,2020-03-31 12:01:32.670258,2020-03-31,2020,3,31,Adidas,adidas,8,2020-03-31
6,sneakernews.com,2020-03-31 12:01:32.674164,2020-03-31,2020,3,31,Adidas,kanye,0,2020-03-31
7,sneakernews.com,2020-03-31 12:01:32.677946,2020-03-31,2020,3,31,Adidas,yeezy,6,2020-03-31
8,sneakernews.com,2020-03-31 12:01:32.681536,2020-03-31,2020,3,31,New Balance,NB,0,2020-03-31
9,sneakernews.com,2020-03-31 12:01:32.685433,2020-03-31,2020,3,31,New Balance,new balance,4,2020-03-31
10,sneakernews.com,2020-03-31 12:01:32.689045,2020-03-31,2020,3,31,Puma,Puma,0,2020-03-31
11,sneakernews.com,2020-03-31 12:01:32.692752,2020-03-31,2020,3,31,Puma,puma,2,2020-03-31
12,sneakernews.com,2020-03-31 12:01:32.696329,2020-03-31,2020,3,31,Vans,Vans,0,2020-03-31
13,sneakernews.com,2020-03-31 12:01:32.700076,2020-03-31,2020,3,31,Vans,vans,2,2020-03-31
0,Solecollector.com,2020-03-31 12:01:34.748556,2020-03-31,2020,3,31,Nike,nike,6,2020-03-31
1,Solecollector.com,2020-03-31 12:01:34.752377,2020-03-31,2020,3,31,Nike,jordan,5,2020-03-31
2,Solecollector.com,2020-03-31 12:01:34.756310,2020-03-31,2020,3,31,Nike,converse,0,2020-03-31
3,Solecollector.com,2020-03-31 12:01:34.760660,2020-03-31,2020,3,31,Adidas,adidas,2,2020-03-31
4,Solecollector.com,2020-03-31 12:01:34.765641,2020-03-31,2020,3,31,Adidas,reebok,1,2020-03-31
5,Solecollector.com,2020-03-31 12:01:34.769421,2020-03-31,2020,3,31,Adidas,adidas,2,2020-03-31
6,Solecollector.com,2020-03-31 12:01:34.773259,2020-03-31,2020,3,31,Adidas,kanye,0,2020-03-31
7,Solecollector.com,2020-03-31 12:01:34.776696,2020-03-31,2020,3,31,Adidas,yeezy,2,2020-03-31
8,Solecollector.com,2020-03-31 12:01:34.780172,2020-03-31,2020,3,31,New Balance,NB,0,2020-03-31
9,Solecollector.com,2020-03-31 12:01:34.783790,2020-03-31,2020,3,31,New Balance,new balance,0,2020-03-31
10,Solecollector.com,2020-03-31 12:01:34.787506,2020-03-31,2020,3,31,Puma,Puma,0,2020-03-31
11,Solecollector.com,2020-03-31 12:01:34.791363,2020-03-31,2020,3,31,Puma,puma,1,2020-03-31
12,Solecollector.com,2020-03-31 12:01:34.795489,2020-03-31,2020,3,31,Vans,Vans,0,2020-03-31
13,Solecollector.com,2020-03-31 12:01:34.799034,2020-03-31,2020,3,31,Vans,vans,0,2020-03-31
0,hypebeast.com,2020-03-31 12:01:36.644175,2020-03-31,2020,3,31,Nike,nike,4,2020-03-31
1,hypebeast.com,2020-03-31 12:01:36.647878,2020-03-31,2020,3,31,Nike,jordan,1,2020-03-31
2,hypebeast.com,2020-03-31 12:01:36.651527,2020-03-31,2020,3,31,Nike,converse,1,2020-03-31
3,hypebeast.com,2020-03-31 12:01:36.655032,2020-03-31,2020,3,31,Adidas,adidas,2,2020-03-31
4,hypebeast.com,2020-03-31 12:01:36.658441,2020-03-31,2020,3,31,Adidas,reebok,0,2020-03-31
5,hypebeast.com,2020-03-31 12:01:36.661983,2020-03-31,2020,3,31,Adidas,adidas,2,2020-03-31
6,hypebeast.com,2020-03-31 12:01:36.665504,2020-03-31,2020,3,31,Adidas,kanye,0,2020-03-31
7,hypebeast.com,2020-03-31 12:01:36.668969,2020-03-31,2020,3,31,Adidas,yeezy,0,2020-03-31
8,hypebeast.com,2020-03-31 12:01:36.672712,2020-03-31,2020,3,31,New Balance,NB,0,2020-03-31
9,hypebeast.com,2020-03-31 12:01:36.676345,2020-03-31,2020,3,31,New Balance,new balance,0,2020-03-31
10,hypebeast.com,2020-03-31 12:01:36.679910,2020-03-31,2020,3,31,Puma,Puma,0,2020-03-31
11,hypebeast.com,2020-03-31 12:01:36.683389,2020-03-31,2020,3,31,Puma,puma,1,2020-03-31
12,hypebeast.com,2020-03-31 12:01:36.686843,2020-03-31,2020,3,31,Vans,Vans,0,2020-03-31
13,hypebeast.com,2020-03-31 12:01:36.690622,2020-03-31,2020,3,31,Vans,vans,0,2020-03-31
