,website,dtg,date,year,month,day,shoe_company,brand,count,short_date
0,sneakernews.com,2022-01-26 07:12:35.636450,2022-01-26,2022,1,26,Nike,nike,10,2022-01-26
1,sneakernews.com,2022-01-26 07:12:35.643298,2022-01-26,2022,1,26,Nike,jordan,18,2022-01-26
2,sneakernews.com,2022-01-26 07:12:35.648103,2022-01-26,2022,1,26,Nike,converse,2,2022-01-26
3,sneakernews.com,2022-01-26 07:12:35.652901,2022-01-26,2022,1,26,Adidas,adidas,9,2022-01-26
4,sneakernews.com,2022-01-26 07:12:35.658110,2022-01-26,2022,1,26,Adidas,reebok,2,2022-01-26
5,sneakernews.com,2022-01-26 07:12:35.662806,2022-01-26,2022,1,26,Adidas,adidas,9,2022-01-26
6,sneakernews.com,2022-01-26 07:12:35.667214,2022-01-26,2022,1,26,Adidas,kanye,0,2022-01-26
7,sneakernews.com,2022-01-26 07:12:35.671621,2022-01-26,2022,1,26,Adidas,yeezy,8,2022-01-26
8,sneakernews.com,2022-01-26 07:12:35.675958,2022-01-26,2022,1,26,New Balance,NB,0,2022-01-26
9,sneakernews.com,2022-01-26 07:12:35.679808,2022-01-26,2022,1,26,New Balance,new balance,3,2022-01-26
10,sneakernews.com,2022-01-26 07:12:35.683786,2022-01-26,2022,1,26,Puma,Puma,0,2022-01-26
11,sneakernews.com,2022-01-26 07:12:35.687534,2022-01-26,2022,1,26,Puma,puma,2,2022-01-26
12,sneakernews.com,2022-01-26 07:12:35.691535,2022-01-26,2022,1,26,Vans,Vans,0,2022-01-26
13,sneakernews.com,2022-01-26 07:12:35.695296,2022-01-26,2022,1,26,Vans,vans,2,2022-01-26
0,Solecollector.com,2022-01-26 07:12:37.115779,2022-01-26,2022,1,26,Nike,nike,5,2022-01-26
1,Solecollector.com,2022-01-26 07:12:37.120481,2022-01-26,2022,1,26,Nike,jordan,5,2022-01-26
2,Solecollector.com,2022-01-26 07:12:37.125502,2022-01-26,2022,1,26,Nike,converse,0,2022-01-26
3,Solecollector.com,2022-01-26 07:12:37.130290,2022-01-26,2022,1,26,Adidas,adidas,1,2022-01-26
4,Solecollector.com,2022-01-26 07:12:37.135169,2022-01-26,2022,1,26,Adidas,reebok,1,2022-01-26
5,Solecollector.com,2022-01-26 07:12:37.139947,2022-01-26,2022,1,26,Adidas,adidas,1,2022-01-26
6,Solecollector.com,2022-01-26 07:12:37.144709,2022-01-26,2022,1,26,Adidas,kanye,0,2022-01-26
7,Solecollector.com,2022-01-26 07:12:37.149136,2022-01-26,2022,1,26,Adidas,yeezy,0,2022-01-26
8,Solecollector.com,2022-01-26 07:12:37.153531,2022-01-26,2022,1,26,New Balance,NB,0,2022-01-26
9,Solecollector.com,2022-01-26 07:12:37.157911,2022-01-26,2022,1,26,New Balance,new balance,0,2022-01-26
10,Solecollector.com,2022-01-26 07:12:37.161985,2022-01-26,2022,1,26,Puma,Puma,0,2022-01-26
11,Solecollector.com,2022-01-26 07:12:37.165767,2022-01-26,2022,1,26,Puma,puma,1,2022-01-26
12,Solecollector.com,2022-01-26 07:12:37.169451,2022-01-26,2022,1,26,Vans,Vans,0,2022-01-26
13,Solecollector.com,2022-01-26 07:12:37.173205,2022-01-26,2022,1,26,Vans,vans,0,2022-01-26
0,hypebeast.com,2022-01-26 07:12:38.099029,2022-01-26,2022,1,26,Nike,nike,1,2022-01-26
1,hypebeast.com,2022-01-26 07:12:38.103792,2022-01-26,2022,1,26,Nike,jordan,0,2022-01-26
2,hypebeast.com,2022-01-26 07:12:38.109295,2022-01-26,2022,1,26,Nike,converse,0,2022-01-26
3,hypebeast.com,2022-01-26 07:12:38.115917,2022-01-26,2022,1,26,Adidas,adidas,1,2022-01-26
4,hypebeast.com,2022-01-26 07:12:38.121320,2022-01-26,2022,1,26,Adidas,reebok,0,2022-01-26
5,hypebeast.com,2022-01-26 07:12:38.126648,2022-01-26,2022,1,26,Adidas,adidas,1,2022-01-26
6,hypebeast.com,2022-01-26 07:12:38.131770,2022-01-26,2022,1,26,Adidas,kanye,0,2022-01-26
7,hypebeast.com,2022-01-26 07:12:38.137393,2022-01-26,2022,1,26,Adidas,yeezy,0,2022-01-26
8,hypebeast.com,2022-01-26 07:12:38.142304,2022-01-26,2022,1,26,New Balance,NB,0,2022-01-26
9,hypebeast.com,2022-01-26 07:12:38.148022,2022-01-26,2022,1,26,New Balance,new balance,0,2022-01-26
10,hypebeast.com,2022-01-26 07:12:38.155357,2022-01-26,2022,1,26,Puma,Puma,0,2022-01-26
11,hypebeast.com,2022-01-26 07:12:38.160531,2022-01-26,2022,1,26,Puma,puma,0,2022-01-26
12,hypebeast.com,2022-01-26 07:12:38.165683,2022-01-26,2022,1,26,Vans,Vans,0,2022-01-26
13,hypebeast.com,2022-01-26 07:12:38.171042,2022-01-26,2022,1,26,Vans,vans,0,2022-01-26
