,website,dtg,date,year,month,day,shoe_company,brand,count,short_date
0,sneakernews.com,2022-02-20 17:39:10.204807,2022-02-20,2022,2,20,Nike,nike,9,2022-02-20
1,sneakernews.com,2022-02-20 17:39:10.216111,2022-02-20,2022,2,20,Nike,jordan,21,2022-02-20
2,sneakernews.com,2022-02-20 17:39:10.223192,2022-02-20,2022,2,20,Nike,converse,2,2022-02-20
3,sneakernews.com,2022-02-20 17:39:10.227666,2022-02-20,2022,2,20,Adidas,adidas,7,2022-02-20
4,sneakernews.com,2022-02-20 17:39:10.231985,2022-02-20,2022,2,20,Adidas,reebok,2,2022-02-20
5,sneakernews.com,2022-02-20 17:39:10.236306,2022-02-20,2022,2,20,Adidas,adidas,7,2022-02-20
6,sneakernews.com,2022-02-20 17:39:10.240664,2022-02-20,2022,2,20,Adidas,kanye,0,2022-02-20
7,sneakernews.com,2022-02-20 17:39:10.244706,2022-02-20,2022,2,20,Adidas,yeezy,8,2022-02-20
8,sneakernews.com,2022-02-20 17:39:10.248584,2022-02-20,2022,2,20,New Balance,NB,0,2022-02-20
9,sneakernews.com,2022-02-20 17:39:10.252180,2022-02-20,2022,2,20,New Balance,new balance,4,2022-02-20
10,sneakernews.com,2022-02-20 17:39:10.255660,2022-02-20,2022,2,20,Puma,Puma,0,2022-02-20
11,sneakernews.com,2022-02-20 17:39:10.259070,2022-02-20,2022,2,20,Puma,puma,2,2022-02-20
12,sneakernews.com,2022-02-20 17:39:10.262527,2022-02-20,2022,2,20,Vans,Vans,0,2022-02-20
13,sneakernews.com,2022-02-20 17:39:10.266416,2022-02-20,2022,2,20,Vans,vans,2,2022-02-20
0,Solecollector.com,2022-02-20 17:39:11.516518,2022-02-20,2022,2,20,Nike,nike,6,2022-02-20
1,Solecollector.com,2022-02-20 17:39:11.521112,2022-02-20,2022,2,20,Nike,jordan,4,2022-02-20
2,Solecollector.com,2022-02-20 17:39:11.525706,2022-02-20,2022,2,20,Nike,converse,0,2022-02-20
3,Solecollector.com,2022-02-20 17:39:11.530154,2022-02-20,2022,2,20,Adidas,adidas,2,2022-02-20
4,Solecollector.com,2022-02-20 17:39:11.534315,2022-02-20,2022,2,20,Adidas,reebok,1,2022-02-20
5,Solecollector.com,2022-02-20 17:39:11.538953,2022-02-20,2022,2,20,Adidas,adidas,2,2022-02-20
6,Solecollector.com,2022-02-20 17:39:11.543290,2022-02-20,2022,2,20,Adidas,kanye,0,2022-02-20
7,Solecollector.com,2022-02-20 17:39:11.547322,2022-02-20,2022,2,20,Adidas,yeezy,0,2022-02-20
8,Solecollector.com,2022-02-20 17:39:11.551008,2022-02-20,2022,2,20,New Balance,NB,0,2022-02-20
9,Solecollector.com,2022-02-20 17:39:11.554980,2022-02-20,2022,2,20,New Balance,new balance,0,2022-02-20
10,Solecollector.com,2022-02-20 17:39:11.558684,2022-02-20,2022,2,20,Puma,Puma,0,2022-02-20
11,Solecollector.com,2022-02-20 17:39:11.562370,2022-02-20,2022,2,20,Puma,puma,1,2022-02-20
12,Solecollector.com,2022-02-20 17:39:11.565981,2022-02-20,2022,2,20,Vans,Vans,0,2022-02-20
13,Solecollector.com,2022-02-20 17:39:11.569836,2022-02-20,2022,2,20,Vans,vans,0,2022-02-20
0,hypebeast.com,2022-02-20 17:39:12.662343,2022-02-20,2022,2,20,Nike,nike,1,2022-02-20
1,hypebeast.com,2022-02-20 17:39:12.665902,2022-02-20,2022,2,20,Nike,jordan,2,2022-02-20
2,hypebeast.com,2022-02-20 17:39:12.669338,2022-02-20,2022,2,20,Nike,converse,2,2022-02-20
3,hypebeast.com,2022-02-20 17:39:12.672846,2022-02-20,2022,2,20,Adidas,adidas,2,2022-02-20
4,hypebeast.com,2022-02-20 17:39:12.676523,2022-02-20,2022,2,20,Adidas,reebok,0,2022-02-20
5,hypebeast.com,2022-02-20 17:39:12.680023,2022-02-20,2022,2,20,Adidas,adidas,2,2022-02-20
6,hypebeast.com,2022-02-20 17:39:12.683454,2022-02-20,2022,2,20,Adidas,kanye,0,2022-02-20
7,hypebeast.com,2022-02-20 17:39:12.687005,2022-02-20,2022,2,20,Adidas,yeezy,0,2022-02-20
8,hypebeast.com,2022-02-20 17:39:12.690755,2022-02-20,2022,2,20,New Balance,NB,0,2022-02-20
9,hypebeast.com,2022-02-20 17:39:12.694232,2022-02-20,2022,2,20,New Balance,new balance,0,2022-02-20
10,hypebeast.com,2022-02-20 17:39:12.698177,2022-02-20,2022,2,20,Puma,Puma,0,2022-02-20
11,hypebeast.com,2022-02-20 17:39:12.701650,2022-02-20,2022,2,20,Puma,puma,0,2022-02-20
12,hypebeast.com,2022-02-20 17:39:12.705186,2022-02-20,2022,2,20,Vans,Vans,0,2022-02-20
13,hypebeast.com,2022-02-20 17:39:12.708874,2022-02-20,2022,2,20,Vans,vans,0,2022-02-20
