,website,dtg,date,year,month,day,category_name,item,count,short_date
0,sneakernews.com,2020-01-08 19:08:35.281397,2020-01-08,2020,1,8,Nike,nike,9,2020-01-08
1,sneakernews.com,2020-01-08 19:08:35.286611,2020-01-08,2020,1,8,Nike,jordan,18,2020-01-08
2,sneakernews.com,2020-01-08 19:08:35.290139,2020-01-08,2020,1,8,Nike,converse,2,2020-01-08
3,sneakernews.com,2020-01-08 19:08:35.293528,2020-01-08,2020,1,8,Adidas,adidas,10,2020-01-08
4,sneakernews.com,2020-01-08 19:08:35.296998,2020-01-08,2020,1,8,Adidas,reebok,4,2020-01-08
5,sneakernews.com,2020-01-08 19:08:35.300424,2020-01-08,2020,1,8,Adidas,adidas,10,2020-01-08
6,sneakernews.com,2020-01-08 19:08:35.303885,2020-01-08,2020,1,8,Adidas,kanye,1,2020-01-08
7,sneakernews.com,2020-01-08 19:08:35.307381,2020-01-08,2020,1,8,Adidas,yeezy,8,2020-01-08
8,sneakernews.com,2020-01-08 19:08:35.310795,2020-01-08,2020,1,8,New Balance,NB,0,2020-01-08
9,sneakernews.com,2020-01-08 19:08:35.314179,2020-01-08,2020,1,8,New Balance,new balance,3,2020-01-08
10,sneakernews.com,2020-01-08 19:08:35.317605,2020-01-08,2020,1,8,Puma,Puma,0,2020-01-08
11,sneakernews.com,2020-01-08 19:08:35.321006,2020-01-08,2020,1,8,Puma,puma,2,2020-01-08
12,sneakernews.com,2020-01-08 19:08:35.324466,2020-01-08,2020,1,8,Vans,Vans,0,2020-01-08
13,sneakernews.com,2020-01-08 19:08:35.328399,2020-01-08,2020,1,8,Vans,vans,2,2020-01-08
0,Solecollector.com,2020-01-08 19:08:36.534594,2020-01-08,2020,1,8,Nike,nike,9,2020-01-08
1,Solecollector.com,2020-01-08 19:08:36.539347,2020-01-08,2020,1,8,Nike,jordan,5,2020-01-08
2,Solecollector.com,2020-01-08 19:08:36.544219,2020-01-08,2020,1,8,Nike,converse,0,2020-01-08
3,Solecollector.com,2020-01-08 19:08:36.548831,2020-01-08,2020,1,8,Adidas,adidas,1,2020-01-08
4,Solecollector.com,2020-01-08 19:08:36.553215,2020-01-08,2020,1,8,Adidas,reebok,1,2020-01-08
5,Solecollector.com,2020-01-08 19:08:36.558123,2020-01-08,2020,1,8,Adidas,adidas,1,2020-01-08
6,Solecollector.com,2020-01-08 19:08:36.562841,2020-01-08,2020,1,8,Adidas,kanye,0,2020-01-08
7,Solecollector.com,2020-01-08 19:08:36.567313,2020-01-08,2020,1,8,Adidas,yeezy,0,2020-01-08
8,Solecollector.com,2020-01-08 19:08:36.571757,2020-01-08,2020,1,8,New Balance,NB,0,2020-01-08
9,Solecollector.com,2020-01-08 19:08:36.576560,2020-01-08,2020,1,8,New Balance,new balance,0,2020-01-08
10,Solecollector.com,2020-01-08 19:08:36.581219,2020-01-08,2020,1,8,Puma,Puma,0,2020-01-08
11,Solecollector.com,2020-01-08 19:08:36.585798,2020-01-08,2020,1,8,Puma,puma,1,2020-01-08
12,Solecollector.com,2020-01-08 19:08:36.590829,2020-01-08,2020,1,8,Vans,Vans,0,2020-01-08
13,Solecollector.com,2020-01-08 19:08:36.595647,2020-01-08,2020,1,8,Vans,vans,0,2020-01-08
0,hypebeast.com,2020-01-08 19:08:38.658047,2020-01-08,2020,1,8,Nike,nike,3,2020-01-08
1,hypebeast.com,2020-01-08 19:08:38.662011,2020-01-08,2020,1,8,Nike,jordan,1,2020-01-08
2,hypebeast.com,2020-01-08 19:08:38.666004,2020-01-08,2020,1,8,Nike,converse,2,2020-01-08
3,hypebeast.com,2020-01-08 19:08:38.669642,2020-01-08,2020,1,8,Adidas,adidas,1,2020-01-08
4,hypebeast.com,2020-01-08 19:08:38.673404,2020-01-08,2020,1,8,Adidas,reebok,0,2020-01-08
5,hypebeast.com,2020-01-08 19:08:38.677105,2020-01-08,2020,1,8,Adidas,adidas,1,2020-01-08
6,hypebeast.com,2020-01-08 19:08:38.680980,2020-01-08,2020,1,8,Adidas,kanye,0,2020-01-08
7,hypebeast.com,2020-01-08 19:08:38.684665,2020-01-08,2020,1,8,Adidas,yeezy,0,2020-01-08
8,hypebeast.com,2020-01-08 19:08:38.688485,2020-01-08,2020,1,8,New Balance,NB,0,2020-01-08
9,hypebeast.com,2020-01-08 19:08:38.692091,2020-01-08,2020,1,8,New Balance,new balance,0,2020-01-08
10,hypebeast.com,2020-01-08 19:08:38.695737,2020-01-08,2020,1,8,Puma,Puma,0,2020-01-08
11,hypebeast.com,2020-01-08 19:08:38.699244,2020-01-08,2020,1,8,Puma,puma,1,2020-01-08
12,hypebeast.com,2020-01-08 19:08:38.702847,2020-01-08,2020,1,8,Vans,Vans,0,2020-01-08
13,hypebeast.com,2020-01-08 19:08:38.706576,2020-01-08,2020,1,8,Vans,vans,1,2020-01-08
