,website,dtg,date,year,month,day,shoe_company,brand,count,short_date
0,sneakernews.com,2022-01-13 18:30:24.252808,2022-01-13,2022,1,13,Nike,nike,13,2022-01-13
1,sneakernews.com,2022-01-13 18:30:24.261939,2022-01-13,2022,1,13,Nike,jordan,17,2022-01-13
2,sneakernews.com,2022-01-13 18:30:24.266464,2022-01-13,2022,1,13,Nike,converse,2,2022-01-13
3,sneakernews.com,2022-01-13 18:30:24.270763,2022-01-13,2022,1,13,Adidas,adidas,9,2022-01-13
4,sneakernews.com,2022-01-13 18:30:24.275073,2022-01-13,2022,1,13,Adidas,reebok,2,2022-01-13
5,sneakernews.com,2022-01-13 18:30:24.279226,2022-01-13,2022,1,13,Adidas,adidas,9,2022-01-13
6,sneakernews.com,2022-01-13 18:30:24.284733,2022-01-13,2022,1,13,Adidas,kanye,0,2022-01-13
7,sneakernews.com,2022-01-13 18:30:24.289032,2022-01-13,2022,1,13,Adidas,yeezy,9,2022-01-13
8,sneakernews.com,2022-01-13 18:30:24.293188,2022-01-13,2022,1,13,New Balance,NB,0,2022-01-13
9,sneakernews.com,2022-01-13 18:30:24.297333,2022-01-13,2022,1,13,New Balance,new balance,4,2022-01-13
10,sneakernews.com,2022-01-13 18:30:24.301417,2022-01-13,2022,1,13,Puma,Puma,0,2022-01-13
11,sneakernews.com,2022-01-13 18:30:24.305874,2022-01-13,2022,1,13,Puma,puma,2,2022-01-13
12,sneakernews.com,2022-01-13 18:30:24.310081,2022-01-13,2022,1,13,Vans,Vans,0,2022-01-13
13,sneakernews.com,2022-01-13 18:30:24.314681,2022-01-13,2022,1,13,Vans,vans,2,2022-01-13
0,Solecollector.com,2022-01-13 18:30:24.895570,2022-01-13,2022,1,13,Nike,nike,2,2022-01-13
1,Solecollector.com,2022-01-13 18:30:24.899803,2022-01-13,2022,1,13,Nike,jordan,4,2022-01-13
2,Solecollector.com,2022-01-13 18:30:24.904371,2022-01-13,2022,1,13,Nike,converse,0,2022-01-13
3,Solecollector.com,2022-01-13 18:30:24.908465,2022-01-13,2022,1,13,Adidas,adidas,5,2022-01-13
4,Solecollector.com,2022-01-13 18:30:24.912434,2022-01-13,2022,1,13,Adidas,reebok,1,2022-01-13
5,Solecollector.com,2022-01-13 18:30:24.916122,2022-01-13,2022,1,13,Adidas,adidas,5,2022-01-13
6,Solecollector.com,2022-01-13 18:30:24.919714,2022-01-13,2022,1,13,Adidas,kanye,0,2022-01-13
7,Solecollector.com,2022-01-13 18:30:24.923005,2022-01-13,2022,1,13,Adidas,yeezy,0,2022-01-13
8,Solecollector.com,2022-01-13 18:30:24.926332,2022-01-13,2022,1,13,New Balance,NB,0,2022-01-13
9,Solecollector.com,2022-01-13 18:30:24.929841,2022-01-13,2022,1,13,New Balance,new balance,1,2022-01-13
10,Solecollector.com,2022-01-13 18:30:24.933144,2022-01-13,2022,1,13,Puma,Puma,0,2022-01-13
11,Solecollector.com,2022-01-13 18:30:24.936555,2022-01-13,2022,1,13,Puma,puma,1,2022-01-13
12,Solecollector.com,2022-01-13 18:30:24.939843,2022-01-13,2022,1,13,Vans,Vans,0,2022-01-13
13,Solecollector.com,2022-01-13 18:30:24.943155,2022-01-13,2022,1,13,Vans,vans,0,2022-01-13
0,hypebeast.com,2022-01-13 18:30:27.016791,2022-01-13,2022,1,13,Nike,nike,0,2022-01-13
1,hypebeast.com,2022-01-13 18:30:27.021493,2022-01-13,2022,1,13,Nike,jordan,3,2022-01-13
2,hypebeast.com,2022-01-13 18:30:27.024948,2022-01-13,2022,1,13,Nike,converse,0,2022-01-13
3,hypebeast.com,2022-01-13 18:30:27.028310,2022-01-13,2022,1,13,Adidas,adidas,0,2022-01-13
4,hypebeast.com,2022-01-13 18:30:27.031746,2022-01-13,2022,1,13,Adidas,reebok,0,2022-01-13
5,hypebeast.com,2022-01-13 18:30:27.035192,2022-01-13,2022,1,13,Adidas,adidas,0,2022-01-13
6,hypebeast.com,2022-01-13 18:30:27.038717,2022-01-13,2022,1,13,Adidas,kanye,0,2022-01-13
7,hypebeast.com,2022-01-13 18:30:27.042368,2022-01-13,2022,1,13,Adidas,yeezy,0,2022-01-13
8,hypebeast.com,2022-01-13 18:30:27.045887,2022-01-13,2022,1,13,New Balance,NB,0,2022-01-13
9,hypebeast.com,2022-01-13 18:30:27.049728,2022-01-13,2022,1,13,New Balance,new balance,0,2022-01-13
10,hypebeast.com,2022-01-13 18:30:27.053967,2022-01-13,2022,1,13,Puma,Puma,0,2022-01-13
11,hypebeast.com,2022-01-13 18:30:27.058107,2022-01-13,2022,1,13,Puma,puma,0,2022-01-13
12,hypebeast.com,2022-01-13 18:30:27.062181,2022-01-13,2022,1,13,Vans,Vans,0,2022-01-13
13,hypebeast.com,2022-01-13 18:30:27.065938,2022-01-13,2022,1,13,Vans,vans,0,2022-01-13
