,website,dtg,date,year,month,day,shoe_company,brand,count,short_date
0,sneakernews.com,2020-04-24 06:53:33.129533,2020-04-24,2020,4,24,Nike,nike,14,2020-04-24
1,sneakernews.com,2020-04-24 06:53:33.145124,2020-04-24,2020,4,24,Nike,jordan,16,2020-04-24
2,sneakernews.com,2020-04-24 06:53:33.153273,2020-04-24,2020,4,24,Nike,converse,3,2020-04-24
3,sneakernews.com,2020-04-24 06:53:33.158168,2020-04-24,2020,4,24,Adidas,adidas,9,2020-04-24
4,sneakernews.com,2020-04-24 06:53:33.162596,2020-04-24,2020,4,24,Adidas,reebok,3,2020-04-24
5,sneakernews.com,2020-04-24 06:53:33.166996,2020-04-24,2020,4,24,Adidas,adidas,9,2020-04-24
6,sneakernews.com,2020-04-24 06:53:33.171273,2020-04-24,2020,4,24,Adidas,kanye,0,2020-04-24
7,sneakernews.com,2020-04-24 06:53:33.175612,2020-04-24,2020,4,24,Adidas,yeezy,7,2020-04-24
8,sneakernews.com,2020-04-24 06:53:33.179744,2020-04-24,2020,4,24,New Balance,NB,0,2020-04-24
9,sneakernews.com,2020-04-24 06:53:33.183869,2020-04-24,2020,4,24,New Balance,new balance,4,2020-04-24
10,sneakernews.com,2020-04-24 06:53:33.187638,2020-04-24,2020,4,24,Puma,Puma,0,2020-04-24
11,sneakernews.com,2020-04-24 06:53:33.191457,2020-04-24,2020,4,24,Puma,puma,2,2020-04-24
12,sneakernews.com,2020-04-24 06:53:33.195306,2020-04-24,2020,4,24,Vans,Vans,0,2020-04-24
13,sneakernews.com,2020-04-24 06:53:33.198840,2020-04-24,2020,4,24,Vans,vans,2,2020-04-24
0,Solecollector.com,2020-04-24 06:53:36.566700,2020-04-24,2020,4,24,Nike,nike,5,2020-04-24
1,Solecollector.com,2020-04-24 06:53:36.570235,2020-04-24,2020,4,24,Nike,jordan,3,2020-04-24
2,Solecollector.com,2020-04-24 06:53:36.576818,2020-04-24,2020,4,24,Nike,converse,0,2020-04-24
3,Solecollector.com,2020-04-24 06:53:36.580153,2020-04-24,2020,4,24,Adidas,adidas,3,2020-04-24
4,Solecollector.com,2020-04-24 06:53:36.583714,2020-04-24,2020,4,24,Adidas,reebok,1,2020-04-24
5,Solecollector.com,2020-04-24 06:53:36.587376,2020-04-24,2020,4,24,Adidas,adidas,3,2020-04-24
6,Solecollector.com,2020-04-24 06:53:36.590780,2020-04-24,2020,4,24,Adidas,kanye,1,2020-04-24
7,Solecollector.com,2020-04-24 06:53:36.594179,2020-04-24,2020,4,24,Adidas,yeezy,3,2020-04-24
8,Solecollector.com,2020-04-24 06:53:36.597615,2020-04-24,2020,4,24,New Balance,NB,0,2020-04-24
9,Solecollector.com,2020-04-24 06:53:36.601030,2020-04-24,2020,4,24,New Balance,new balance,2,2020-04-24
10,Solecollector.com,2020-04-24 06:53:36.604447,2020-04-24,2020,4,24,Puma,Puma,0,2020-04-24
11,Solecollector.com,2020-04-24 06:53:36.608014,2020-04-24,2020,4,24,Puma,puma,1,2020-04-24
12,Solecollector.com,2020-04-24 06:53:36.611415,2020-04-24,2020,4,24,Vans,Vans,0,2020-04-24
13,Solecollector.com,2020-04-24 06:53:36.615164,2020-04-24,2020,4,24,Vans,vans,0,2020-04-24
0,hypebeast.com,2020-04-24 06:53:38.443234,2020-04-24,2020,4,24,Nike,nike,7,2020-04-24
1,hypebeast.com,2020-04-24 06:53:38.446904,2020-04-24,2020,4,24,Nike,jordan,0,2020-04-24
2,hypebeast.com,2020-04-24 06:53:38.450477,2020-04-24,2020,4,24,Nike,converse,1,2020-04-24
3,hypebeast.com,2020-04-24 06:53:38.454098,2020-04-24,2020,4,24,Adidas,adidas,1,2020-04-24
4,hypebeast.com,2020-04-24 06:53:38.457739,2020-04-24,2020,4,24,Adidas,reebok,0,2020-04-24
5,hypebeast.com,2020-04-24 06:53:38.461309,2020-04-24,2020,4,24,Adidas,adidas,1,2020-04-24
6,hypebeast.com,2020-04-24 06:53:38.464858,2020-04-24,2020,4,24,Adidas,kanye,0,2020-04-24
7,hypebeast.com,2020-04-24 06:53:38.468437,2020-04-24,2020,4,24,Adidas,yeezy,0,2020-04-24
8,hypebeast.com,2020-04-24 06:53:38.472000,2020-04-24,2020,4,24,New Balance,NB,0,2020-04-24
9,hypebeast.com,2020-04-24 06:53:38.475625,2020-04-24,2020,4,24,New Balance,new balance,0,2020-04-24
10,hypebeast.com,2020-04-24 06:53:38.479223,2020-04-24,2020,4,24,Puma,Puma,0,2020-04-24
11,hypebeast.com,2020-04-24 06:53:38.482826,2020-04-24,2020,4,24,Puma,puma,1,2020-04-24
12,hypebeast.com,2020-04-24 06:53:38.486427,2020-04-24,2020,4,24,Vans,Vans,0,2020-04-24
13,hypebeast.com,2020-04-24 06:53:38.490042,2020-04-24,2020,4,24,Vans,vans,0,2020-04-24
