,website,dtg,date,year,month,day,shoe_company,brand,count,short_date
0,sneakernews.com,2020-06-28 10:10:48.824410,2020-06-28,2020,6,28,Nike,nike,9,2020-06-28
1,sneakernews.com,2020-06-28 10:10:48.830626,2020-06-28,2020,6,28,Nike,jordan,23,2020-06-28
2,sneakernews.com,2020-06-28 10:10:48.835042,2020-06-28,2020,6,28,Nike,converse,2,2020-06-28
3,sneakernews.com,2020-06-28 10:10:48.839349,2020-06-28,2020,6,28,Adidas,adidas,8,2020-06-28
4,sneakernews.com,2020-06-28 10:10:48.843795,2020-06-28,2020,6,28,Adidas,reebok,2,2020-06-28
5,sneakernews.com,2020-06-28 10:10:48.848406,2020-06-28,2020,6,28,Adidas,adidas,8,2020-06-28
6,sneakernews.com,2020-06-28 10:10:48.852566,2020-06-28,2020,6,28,Adidas,kanye,1,2020-06-28
7,sneakernews.com,2020-06-28 10:10:48.856896,2020-06-28,2020,6,28,Adidas,yeezy,9,2020-06-28
8,sneakernews.com,2020-06-28 10:10:48.861116,2020-06-28,2020,6,28,New Balance,NB,0,2020-06-28
9,sneakernews.com,2020-06-28 10:10:48.865355,2020-06-28,2020,6,28,New Balance,new balance,2,2020-06-28
10,sneakernews.com,2020-06-28 10:10:48.869577,2020-06-28,2020,6,28,Puma,Puma,0,2020-06-28
11,sneakernews.com,2020-06-28 10:10:48.874069,2020-06-28,2020,6,28,Puma,puma,2,2020-06-28
12,sneakernews.com,2020-06-28 10:10:48.878292,2020-06-28,2020,6,28,Vans,Vans,0,2020-06-28
13,sneakernews.com,2020-06-28 10:10:48.882713,2020-06-28,2020,6,28,Vans,vans,2,2020-06-28
0,Solecollector.com,2020-06-28 10:10:50.776931,2020-06-28,2020,6,28,Nike,nike,7,2020-06-28
1,Solecollector.com,2020-06-28 10:10:50.781723,2020-06-28,2020,6,28,Nike,jordan,7,2020-06-28
2,Solecollector.com,2020-06-28 10:10:50.787509,2020-06-28,2020,6,28,Nike,converse,0,2020-06-28
3,Solecollector.com,2020-06-28 10:10:50.792512,2020-06-28,2020,6,28,Adidas,adidas,1,2020-06-28
4,Solecollector.com,2020-06-28 10:10:50.798086,2020-06-28,2020,6,28,Adidas,reebok,1,2020-06-28
5,Solecollector.com,2020-06-28 10:10:50.803932,2020-06-28,2020,6,28,Adidas,adidas,1,2020-06-28
6,Solecollector.com,2020-06-28 10:10:50.809014,2020-06-28,2020,6,28,Adidas,kanye,0,2020-06-28
7,Solecollector.com,2020-06-28 10:10:50.813888,2020-06-28,2020,6,28,Adidas,yeezy,0,2020-06-28
8,Solecollector.com,2020-06-28 10:10:50.818993,2020-06-28,2020,6,28,New Balance,NB,0,2020-06-28
9,Solecollector.com,2020-06-28 10:10:50.823803,2020-06-28,2020,6,28,New Balance,new balance,0,2020-06-28
10,Solecollector.com,2020-06-28 10:10:50.828901,2020-06-28,2020,6,28,Puma,Puma,0,2020-06-28
11,Solecollector.com,2020-06-28 10:10:50.833730,2020-06-28,2020,6,28,Puma,puma,1,2020-06-28
12,Solecollector.com,2020-06-28 10:10:50.838221,2020-06-28,2020,6,28,Vans,Vans,0,2020-06-28
13,Solecollector.com,2020-06-28 10:10:50.842400,2020-06-28,2020,6,28,Vans,vans,0,2020-06-28
0,hypebeast.com,2020-06-28 10:10:53.661181,2020-06-28,2020,6,28,Nike,nike,4,2020-06-28
1,hypebeast.com,2020-06-28 10:10:53.668059,2020-06-28,2020,6,28,Nike,jordan,0,2020-06-28
2,hypebeast.com,2020-06-28 10:10:53.672575,2020-06-28,2020,6,28,Nike,converse,1,2020-06-28
3,hypebeast.com,2020-06-28 10:10:53.677372,2020-06-28,2020,6,28,Adidas,adidas,1,2020-06-28
4,hypebeast.com,2020-06-28 10:10:53.682418,2020-06-28,2020,6,28,Adidas,reebok,0,2020-06-28
5,hypebeast.com,2020-06-28 10:10:53.687261,2020-06-28,2020,6,28,Adidas,adidas,1,2020-06-28
6,hypebeast.com,2020-06-28 10:10:53.692039,2020-06-28,2020,6,28,Adidas,kanye,0,2020-06-28
7,hypebeast.com,2020-06-28 10:10:53.696063,2020-06-28,2020,6,28,Adidas,yeezy,3,2020-06-28
8,hypebeast.com,2020-06-28 10:10:53.700550,2020-06-28,2020,6,28,New Balance,NB,0,2020-06-28
9,hypebeast.com,2020-06-28 10:10:53.705160,2020-06-28,2020,6,28,New Balance,new balance,0,2020-06-28
10,hypebeast.com,2020-06-28 10:10:53.709329,2020-06-28,2020,6,28,Puma,Puma,0,2020-06-28
11,hypebeast.com,2020-06-28 10:10:53.714007,2020-06-28,2020,6,28,Puma,puma,1,2020-06-28
12,hypebeast.com,2020-06-28 10:10:53.718802,2020-06-28,2020,6,28,Vans,Vans,0,2020-06-28
13,hypebeast.com,2020-06-28 10:10:53.723859,2020-06-28,2020,6,28,Vans,vans,0,2020-06-28
