,website,dtg,date,year,month,day,shoe_company,brand,count,short_date
0,sneakernews.com,2021-05-03 18:46:02.674538,2021-05-03,2021,5,3,Nike,nike,11,2021-05-03
1,sneakernews.com,2021-05-03 18:46:02.679724,2021-05-03,2021,5,3,Nike,jordan,18,2021-05-03
2,sneakernews.com,2021-05-03 18:46:02.684190,2021-05-03,2021,5,3,Nike,converse,2,2021-05-03
3,sneakernews.com,2021-05-03 18:46:02.688593,2021-05-03,2021,5,3,Adidas,adidas,4,2021-05-03
4,sneakernews.com,2021-05-03 18:46:02.692888,2021-05-03,2021,5,3,Adidas,reebok,2,2021-05-03
5,sneakernews.com,2021-05-03 18:46:02.697664,2021-05-03,2021,5,3,Adidas,adidas,4,2021-05-03
6,sneakernews.com,2021-05-03 18:46:02.702293,2021-05-03,2021,5,3,Adidas,kanye,0,2021-05-03
7,sneakernews.com,2021-05-03 18:46:02.706701,2021-05-03,2021,5,3,Adidas,yeezy,9,2021-05-03
8,sneakernews.com,2021-05-03 18:46:02.711015,2021-05-03,2021,5,3,New Balance,NB,0,2021-05-03
9,sneakernews.com,2021-05-03 18:46:02.715519,2021-05-03,2021,5,3,New Balance,new balance,3,2021-05-03
10,sneakernews.com,2021-05-03 18:46:02.719956,2021-05-03,2021,5,3,Puma,Puma,0,2021-05-03
11,sneakernews.com,2021-05-03 18:46:02.724308,2021-05-03,2021,5,3,Puma,puma,3,2021-05-03
12,sneakernews.com,2021-05-03 18:46:02.728797,2021-05-03,2021,5,3,Vans,Vans,0,2021-05-03
13,sneakernews.com,2021-05-03 18:46:02.732603,2021-05-03,2021,5,3,Vans,vans,2,2021-05-03
0,Solecollector.com,2021-05-03 18:46:04.024566,2021-05-03,2021,5,3,Nike,nike,5,2021-05-03
1,Solecollector.com,2021-05-03 18:46:04.030268,2021-05-03,2021,5,3,Nike,jordan,8,2021-05-03
2,Solecollector.com,2021-05-03 18:46:04.034684,2021-05-03,2021,5,3,Nike,converse,0,2021-05-03
3,Solecollector.com,2021-05-03 18:46:04.038996,2021-05-03,2021,5,3,Adidas,adidas,1,2021-05-03
4,Solecollector.com,2021-05-03 18:46:04.043315,2021-05-03,2021,5,3,Adidas,reebok,1,2021-05-03
5,Solecollector.com,2021-05-03 18:46:04.047805,2021-05-03,2021,5,3,Adidas,adidas,1,2021-05-03
6,Solecollector.com,2021-05-03 18:46:04.052478,2021-05-03,2021,5,3,Adidas,kanye,0,2021-05-03
7,Solecollector.com,2021-05-03 18:46:04.057314,2021-05-03,2021,5,3,Adidas,yeezy,0,2021-05-03
8,Solecollector.com,2021-05-03 18:46:04.061825,2021-05-03,2021,5,3,New Balance,NB,0,2021-05-03
9,Solecollector.com,2021-05-03 18:46:04.066219,2021-05-03,2021,5,3,New Balance,new balance,0,2021-05-03
10,Solecollector.com,2021-05-03 18:46:04.070666,2021-05-03,2021,5,3,Puma,Puma,0,2021-05-03
11,Solecollector.com,2021-05-03 18:46:04.076309,2021-05-03,2021,5,3,Puma,puma,1,2021-05-03
12,Solecollector.com,2021-05-03 18:46:04.080949,2021-05-03,2021,5,3,Vans,Vans,0,2021-05-03
13,Solecollector.com,2021-05-03 18:46:04.085442,2021-05-03,2021,5,3,Vans,vans,0,2021-05-03
0,hypebeast.com,2021-05-03 18:46:05.873864,2021-05-03,2021,5,3,Nike,nike,3,2021-05-03
1,hypebeast.com,2021-05-03 18:46:05.878618,2021-05-03,2021,5,3,Nike,jordan,1,2021-05-03
2,hypebeast.com,2021-05-03 18:46:05.882366,2021-05-03,2021,5,3,Nike,converse,0,2021-05-03
3,hypebeast.com,2021-05-03 18:46:05.885999,2021-05-03,2021,5,3,Adidas,adidas,0,2021-05-03
4,hypebeast.com,2021-05-03 18:46:05.889771,2021-05-03,2021,5,3,Adidas,reebok,1,2021-05-03
5,hypebeast.com,2021-05-03 18:46:05.893524,2021-05-03,2021,5,3,Adidas,adidas,0,2021-05-03
6,hypebeast.com,2021-05-03 18:46:05.897053,2021-05-03,2021,5,3,Adidas,kanye,0,2021-05-03
7,hypebeast.com,2021-05-03 18:46:05.900663,2021-05-03,2021,5,3,Adidas,yeezy,0,2021-05-03
8,hypebeast.com,2021-05-03 18:46:05.904342,2021-05-03,2021,5,3,New Balance,NB,0,2021-05-03
9,hypebeast.com,2021-05-03 18:46:05.908284,2021-05-03,2021,5,3,New Balance,new balance,0,2021-05-03
10,hypebeast.com,2021-05-03 18:46:05.913292,2021-05-03,2021,5,3,Puma,Puma,0,2021-05-03
11,hypebeast.com,2021-05-03 18:46:05.917224,2021-05-03,2021,5,3,Puma,puma,0,2021-05-03
12,hypebeast.com,2021-05-03 18:46:05.920962,2021-05-03,2021,5,3,Vans,Vans,0,2021-05-03
13,hypebeast.com,2021-05-03 18:46:05.924976,2021-05-03,2021,5,3,Vans,vans,0,2021-05-03
