,website,dtg,date,year,month,day,shoe_company,brand,count,short_date
0,sneakernews.com,2020-07-29 06:05:37.355458,2020-07-29,2020,7,29,Nike,nike,10,2020-07-29
1,sneakernews.com,2020-07-29 06:05:37.364733,2020-07-29,2020,7,29,Nike,jordan,20,2020-07-29
2,sneakernews.com,2020-07-29 06:05:37.369429,2020-07-29,2020,7,29,Nike,converse,2,2020-07-29
3,sneakernews.com,2020-07-29 06:05:37.373925,2020-07-29,2020,7,29,Adidas,adidas,10,2020-07-29
4,sneakernews.com,2020-07-29 06:05:37.377984,2020-07-29,2020,7,29,Adidas,reebok,2,2020-07-29
5,sneakernews.com,2020-07-29 06:05:37.381743,2020-07-29,2020,7,29,Adidas,adidas,10,2020-07-29
6,sneakernews.com,2020-07-29 06:05:37.385633,2020-07-29,2020,7,29,Adidas,kanye,0,2020-07-29
7,sneakernews.com,2020-07-29 06:05:37.389671,2020-07-29,2020,7,29,Adidas,yeezy,11,2020-07-29
8,sneakernews.com,2020-07-29 06:05:37.393502,2020-07-29,2020,7,29,New Balance,NB,0,2020-07-29
9,sneakernews.com,2020-07-29 06:05:37.397442,2020-07-29,2020,7,29,New Balance,new balance,2,2020-07-29
10,sneakernews.com,2020-07-29 06:05:37.401395,2020-07-29,2020,7,29,Puma,Puma,0,2020-07-29
11,sneakernews.com,2020-07-29 06:05:37.405212,2020-07-29,2020,7,29,Puma,puma,2,2020-07-29
12,sneakernews.com,2020-07-29 06:05:37.409005,2020-07-29,2020,7,29,Vans,Vans,0,2020-07-29
13,sneakernews.com,2020-07-29 06:05:37.412887,2020-07-29,2020,7,29,Vans,vans,3,2020-07-29
0,Solecollector.com,2020-07-29 06:05:39.631072,2020-07-29,2020,7,29,Nike,nike,2,2020-07-29
1,Solecollector.com,2020-07-29 06:05:39.638723,2020-07-29,2020,7,29,Nike,jordan,5,2020-07-29
2,Solecollector.com,2020-07-29 06:05:39.642727,2020-07-29,2020,7,29,Nike,converse,0,2020-07-29
3,Solecollector.com,2020-07-29 06:05:39.646724,2020-07-29,2020,7,29,Adidas,adidas,1,2020-07-29
4,Solecollector.com,2020-07-29 06:05:39.650776,2020-07-29,2020,7,29,Adidas,reebok,3,2020-07-29
5,Solecollector.com,2020-07-29 06:05:39.654882,2020-07-29,2020,7,29,Adidas,adidas,1,2020-07-29
6,Solecollector.com,2020-07-29 06:05:39.658978,2020-07-29,2020,7,29,Adidas,kanye,0,2020-07-29
7,Solecollector.com,2020-07-29 06:05:39.663007,2020-07-29,2020,7,29,Adidas,yeezy,0,2020-07-29
8,Solecollector.com,2020-07-29 06:05:39.666914,2020-07-29,2020,7,29,New Balance,NB,0,2020-07-29
9,Solecollector.com,2020-07-29 06:05:39.671037,2020-07-29,2020,7,29,New Balance,new balance,0,2020-07-29
10,Solecollector.com,2020-07-29 06:05:39.674981,2020-07-29,2020,7,29,Puma,Puma,0,2020-07-29
11,Solecollector.com,2020-07-29 06:05:39.678894,2020-07-29,2020,7,29,Puma,puma,5,2020-07-29
12,Solecollector.com,2020-07-29 06:05:39.682920,2020-07-29,2020,7,29,Vans,Vans,0,2020-07-29
13,Solecollector.com,2020-07-29 06:05:39.686930,2020-07-29,2020,7,29,Vans,vans,0,2020-07-29
0,hypebeast.com,2020-07-29 06:05:42.517270,2020-07-29,2020,7,29,Nike,nike,2,2020-07-29
1,hypebeast.com,2020-07-29 06:05:42.525697,2020-07-29,2020,7,29,Nike,jordan,2,2020-07-29
2,hypebeast.com,2020-07-29 06:05:42.529606,2020-07-29,2020,7,29,Nike,converse,1,2020-07-29
3,hypebeast.com,2020-07-29 06:05:42.533719,2020-07-29,2020,7,29,Adidas,adidas,1,2020-07-29
4,hypebeast.com,2020-07-29 06:05:42.537759,2020-07-29,2020,7,29,Adidas,reebok,0,2020-07-29
5,hypebeast.com,2020-07-29 06:05:42.541590,2020-07-29,2020,7,29,Adidas,adidas,1,2020-07-29
6,hypebeast.com,2020-07-29 06:05:42.545470,2020-07-29,2020,7,29,Adidas,kanye,1,2020-07-29
7,hypebeast.com,2020-07-29 06:05:42.549463,2020-07-29,2020,7,29,Adidas,yeezy,0,2020-07-29
8,hypebeast.com,2020-07-29 06:05:42.553393,2020-07-29,2020,7,29,New Balance,NB,0,2020-07-29
9,hypebeast.com,2020-07-29 06:05:42.557279,2020-07-29,2020,7,29,New Balance,new balance,1,2020-07-29
10,hypebeast.com,2020-07-29 06:05:42.561233,2020-07-29,2020,7,29,Puma,Puma,0,2020-07-29
11,hypebeast.com,2020-07-29 06:05:42.565204,2020-07-29,2020,7,29,Puma,puma,1,2020-07-29
12,hypebeast.com,2020-07-29 06:05:42.569107,2020-07-29,2020,7,29,Vans,Vans,0,2020-07-29
13,hypebeast.com,2020-07-29 06:05:42.573755,2020-07-29,2020,7,29,Vans,vans,0,2020-07-29
