,website,dtg,date,year,month,day,category_name,item,count,short_date
0,sneakernews.com,2020-01-13 16:58:32.291258,2020-01-13,2020,1,13,Nike,nike,10,2020-01-13
1,sneakernews.com,2020-01-13 16:58:32.296458,2020-01-13,2020,1,13,Nike,jordan,20,2020-01-13
2,sneakernews.com,2020-01-13 16:58:32.299999,2020-01-13,2020,1,13,Nike,converse,2,2020-01-13
3,sneakernews.com,2020-01-13 16:58:32.305379,2020-01-13,2020,1,13,Adidas,adidas,8,2020-01-13
4,sneakernews.com,2020-01-13 16:58:32.308858,2020-01-13,2020,1,13,Adidas,reebok,3,2020-01-13
5,sneakernews.com,2020-01-13 16:58:32.312376,2020-01-13,2020,1,13,Adidas,adidas,8,2020-01-13
6,sneakernews.com,2020-01-13 16:58:32.316024,2020-01-13,2020,1,13,Adidas,kanye,1,2020-01-13
7,sneakernews.com,2020-01-13 16:58:32.319718,2020-01-13,2020,1,13,Adidas,yeezy,7,2020-01-13
8,sneakernews.com,2020-01-13 16:58:32.323530,2020-01-13,2020,1,13,New Balance,NB,0,2020-01-13
9,sneakernews.com,2020-01-13 16:58:32.327034,2020-01-13,2020,1,13,New Balance,new balance,2,2020-01-13
10,sneakernews.com,2020-01-13 16:58:32.330893,2020-01-13,2020,1,13,Puma,Puma,0,2020-01-13
11,sneakernews.com,2020-01-13 16:58:32.334538,2020-01-13,2020,1,13,Puma,puma,2,2020-01-13
12,sneakernews.com,2020-01-13 16:58:32.338174,2020-01-13,2020,1,13,Vans,Vans,0,2020-01-13
13,sneakernews.com,2020-01-13 16:58:32.341661,2020-01-13,2020,1,13,Vans,vans,2,2020-01-13
0,Solecollector.com,2020-01-13 16:58:33.331268,2020-01-13,2020,1,13,Nike,nike,10,2020-01-13
1,Solecollector.com,2020-01-13 16:58:33.335178,2020-01-13,2020,1,13,Nike,jordan,4,2020-01-13
2,Solecollector.com,2020-01-13 16:58:33.339297,2020-01-13,2020,1,13,Nike,converse,0,2020-01-13
3,Solecollector.com,2020-01-13 16:58:33.343516,2020-01-13,2020,1,13,Adidas,adidas,1,2020-01-13
4,Solecollector.com,2020-01-13 16:58:33.347203,2020-01-13,2020,1,13,Adidas,reebok,1,2020-01-13
5,Solecollector.com,2020-01-13 16:58:33.350954,2020-01-13,2020,1,13,Adidas,adidas,1,2020-01-13
6,Solecollector.com,2020-01-13 16:58:33.355058,2020-01-13,2020,1,13,Adidas,kanye,0,2020-01-13
7,Solecollector.com,2020-01-13 16:58:33.358902,2020-01-13,2020,1,13,Adidas,yeezy,0,2020-01-13
8,Solecollector.com,2020-01-13 16:58:33.362713,2020-01-13,2020,1,13,New Balance,NB,0,2020-01-13
9,Solecollector.com,2020-01-13 16:58:33.366346,2020-01-13,2020,1,13,New Balance,new balance,0,2020-01-13
10,Solecollector.com,2020-01-13 16:58:33.370551,2020-01-13,2020,1,13,Puma,Puma,0,2020-01-13
11,Solecollector.com,2020-01-13 16:58:33.374280,2020-01-13,2020,1,13,Puma,puma,1,2020-01-13
12,Solecollector.com,2020-01-13 16:58:33.377996,2020-01-13,2020,1,13,Vans,Vans,0,2020-01-13
13,Solecollector.com,2020-01-13 16:58:33.381666,2020-01-13,2020,1,13,Vans,vans,0,2020-01-13
0,hypebeast.com,2020-01-13 16:58:34.589596,2020-01-13,2020,1,13,Nike,nike,6,2020-01-13
1,hypebeast.com,2020-01-13 16:58:34.593409,2020-01-13,2020,1,13,Nike,jordan,2,2020-01-13
2,hypebeast.com,2020-01-13 16:58:34.597187,2020-01-13,2020,1,13,Nike,converse,1,2020-01-13
3,hypebeast.com,2020-01-13 16:58:34.601206,2020-01-13,2020,1,13,Adidas,adidas,2,2020-01-13
4,hypebeast.com,2020-01-13 16:58:34.605056,2020-01-13,2020,1,13,Adidas,reebok,1,2020-01-13
5,hypebeast.com,2020-01-13 16:58:34.610534,2020-01-13,2020,1,13,Adidas,adidas,2,2020-01-13
6,hypebeast.com,2020-01-13 16:58:34.616435,2020-01-13,2020,1,13,Adidas,kanye,0,2020-01-13
7,hypebeast.com,2020-01-13 16:58:34.620263,2020-01-13,2020,1,13,Adidas,yeezy,0,2020-01-13
8,hypebeast.com,2020-01-13 16:58:34.623974,2020-01-13,2020,1,13,New Balance,NB,0,2020-01-13
9,hypebeast.com,2020-01-13 16:58:34.627796,2020-01-13,2020,1,13,New Balance,new balance,0,2020-01-13
10,hypebeast.com,2020-01-13 16:58:34.633009,2020-01-13,2020,1,13,Puma,Puma,0,2020-01-13
11,hypebeast.com,2020-01-13 16:58:34.637056,2020-01-13,2020,1,13,Puma,puma,1,2020-01-13
12,hypebeast.com,2020-01-13 16:58:34.641620,2020-01-13,2020,1,13,Vans,Vans,0,2020-01-13
13,hypebeast.com,2020-01-13 16:58:34.648002,2020-01-13,2020,1,13,Vans,vans,1,2020-01-13
